UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
62,1,298.8,309,1592,38.2,169,0,No Failure
63,3,298.8,309,1829,22.9,172,0,No Failure
64,1,298.9,309,1812,25.9,174,0,No Failure
65,3,299,309.1,1523,38.6,177,0,No Failure
66,3,299,309.1,1394,45.1,179,0,No Failure
67,1,298.9,308.9,1679,28.7,181,0,No Failure
68,2,298.8,308.9,1466,44.1,184,0,No Failure
69,3,298.8,308.9,1527,32.4,189,0,No Failure
70,3,298.9,309,1410,65.7,191,1,Power Failure
71,1,298.9,309,1924,22.6,193,0,No Failure
72,3,298.9,309.1,1452,45.5,196,0,No Failure
73,3,298.9,309.1,1369,44.4,198,0,No Failure
74,3,299,309.1,1592,35,200,0,No Failure
75,3,298.9,309,1601,32.3,202,0,No Failure
76,3,298.8,308.9,1379,46.7,204,0,No Failure
77,3,298.8,308.9,1461,47.9,206,0,No Failure
78,3,298.8,308.9,1455,41.3,208,1,Tool Wear Failure
79,3,298.8,308.9,1398,51.5,0,0,No Failure
80,3,298.8,308.9,1402,37.9,2,0,No Failure
81,2,298.8,308.8,1445,49.9,4,0,No Failure
82,3,298.9,308.9,1450,47.5,9,0,No Failure
83,3,298.9,308.9,1453,40.8,11,0,No Failure
84,3,299,309,1469,40.1,13,0,No Failure
85,3,298.9,308.9,1422,47.6,15,0,No Failure
86,1,299,309,1804,26.8,17,0,No Failure
87,2,299,309,1436,43.9,20,0,No Failure
88,3,299,309,1544,31.8,25,0,No Failure
89,1,299,309,1419,45.2,27,0,No Failure
90,1,298.9,308.9,1487,39.5,30,0,No Failure
91,3,298.9,308.9,1753,25.8,33,0,No Failure
92,3,298.9,308.9,1830,24.9,35,0,No Failure
93,1,298.9,308.9,1727,27.1,37,0,No Failure
94,3,299.1,309,1450,43,40,0,No Failure
95,3,299,308.9,1622,31.9,42,0,No Failure
96,1,299,309,1351,52.2,44,0,No Failure
97,1,299,309,1575,35.3,47,0,No Failure
98,1,298.9,308.9,1750,29.9,50,0,No Failure
99,3,298.9,308.8,1529,32.7,53,0,No Failure
100,3,298.8,308.8,1523,44.4,55,0,No Failure
101,3,298.8,308.9,1852,25,57,0,No Failure
102,3,298.8,308.8,1991,20.7,59,0,No Failure
103,3,298.8,308.8,1555,40.6,61,0,No Failure
104,1,298.8,308.8,1441,40.5,63,0,No Failure
105,3,298.8,308.7,1450,43.4,66,0,No Failure
106,3,298.8,308.7,1591,31.1,68,0,No Failure
107,3,298.8,308.7,1445,48.5,70,0,No Failure
108,1,298.8,308.8,1497,46.8,72,0,No Failure
109,2,298.9,308.8,1621,32.7,75,0,No Failure
110,3,298.9,308.7,1572,34.1,80,0,No Failure
111,3,298.8,308.6,1872,22.5,82,0,No Failure
112,2,298.7,308.6,1499,43.5,84,0,No Failure
113,1,298.8,308.7,1498,39.5,89,0,No Failure
114,1,298.8,308.6,1486,41.9,92,0,No Failure
115,3,298.8,308.6,1680,29.4,95,0,No Failure
116,3,298.8,308.6,1431,45.7,97,0,No Failure
117,3,298.9,308.7,1564,34.1,99,0,No Failure
118,3,298.8,308.6,1599,33,101,0,No Failure
119,1,298.8,308.6,1707,28.1,103,0,No Failure
120,3,298.7,308.5,1467,40.7,106,0,No Failure
121,3,298.9,308.7,1433,44.7,108,0,No Failure
122,3,298.9,308.7,1558,41.2,110,0,No Failure
123,3,299,308.8,1310,50.7,112,0,No Failure
124,3,298.9,308.7,1546,43.4,114,0,No Failure
125,3,298.9,308.7,1727,29.4,116,0,No Failure
126,3,298.9,308.6,1560,32.2,118,0,No Failure
127,3,299,308.6,1329,60.5,120,0,No Failure
128,3,298.9,308.6,1413,46.5,122,0,No Failure
129,3,299,308.6,1587,38.6,124,0,No Failure
130,3,298.9,308.5,1559,34.3,126,0,No Failure
131,3,298.8,308.4,1473,41.1,128,0,No Failure
132,3,298.8,308.4,1737,27.7,130,0,No Failure
133,1,298.7,308.4,1441,43.2,132,0,No Failure
134,1,298.7,308.4,1430,49.6,135,0,No Failure
135,3,298.8,308.4,1369,53,138,0,No Failure
136,1,298.8,308.5,1711,28.5,140,0,No Failure
137,2,298.7,308.5,1420,45.7,143,0,No Failure
138,3,298.7,308.6,1297,55.3,148,0,No Failure
139,2,298.8,308.6,1449,49.4,150,0,No Failure
140,3,298.8,308.6,1268,55.8,155,0,No Failure
141,3,298.8,308.6,1511,36.1,157,0,No Failure
142,3,298.7,308.5,1544,35.2,159,0,No Failure
143,1,298.6,308.4,1778,28.2,161,0,No Failure
144,2,298.6,308.4,1407,50.5,164,0,No Failure
145,1,298.6,308.4,1391,42.4,169,0,No Failure
146,3,298.5,308.4,1513,33.6,172,0,No Failure
147,2,298.5,308.4,1612,36.1,174,0,No Failure
148,3,298.4,308.4,1515,40.1,179,0,No Failure
149,1,298.3,308.3,1379,48,181,0,No Failure
150,3,298.4,308.3,1473,39.9,184,0,No Failure
151,3,298.4,308.3,1422,42.7,186,0,No Failure
152,1,298.4,308.2,1463,37.6,188,0,No Failure
153,1,298.4,308.2,1584,41,191,0,No Failure
154,3,298.4,308.2,1850,27,194,0,No Failure
155,3,298.4,308.2,1528,36.2,196,0,No Failure
156,2,298.4,308.2,1987,19.8,198,0,No Failure
157,1,298.4,308.1,1495,46,203,0,No Failure
158,2,298.4,308.2,1478,43.5,206,0,No Failure
159,1,298.4,308.2,1499,40,211,0,No Failure
160,3,298.4,308.2,1471,47,214,0,No Failure
161,3,298.4,308.2,1282,60.7,216,1,Overstrain Failure
162,3,298.3,308.1,1412,52.3,218,1,Overstrain Failure
163,3,298.3,308.1,1586,35.5,0,0,No Failure
164,1,298.4,308.2,1468,43.8,2,0,No Failure
165,1,298.5,308.3,1440,43.6,5,0,No Failure
166,3,298.5,308.4,1733,26,8,0,No Failure
167,2,298.4,308.2,1612,32.6,10,0,No Failure
168,2,298.4,308.3,1458,42.9,15,0,No Failure
169,3,298.4,308.3,1433,62.3,20,1,Power Failure
170,3,298.4,308.3,1318,59.1,22,0,No Failure
171,1,298.4,308.2,1610,35,24,0,No Failure
172,3,298.2,308.1,1462,50.8,27,0,No Failure
173,1,298.1,308,1924,20.8,29,0,No Failure
174,1,298.2,308,1591,33.7,32,0,No Failure
175,3,298.2,308.1,1306,58.3,35,0,No Failure
176,3,298.2,308.1,1382,43.5,37,0,No Failure
177,3,298.2,308.1,1618,34.7,39,0,No Failure
178,3,298.2,308.2,1988,21.4,41,0,No Failure
179,3,298.2,308.2,1436,50.2,43,0,No Failure
180,3,298.2,308.3,1304,49.8,45,0,No Failure
181,3,298.2,308.3,1475,49.9,47,0,No Failure
182,2,298.2,308.3,1824,24.2,49,0,No Failure
183,1,298.1,308.2,1342,48.1,54,0,No Failure
184,3,298.1,308.2,1485,40.7,57,0,No Failure
185,3,298.2,308.2,1667,30.6,59,0,No Failure
186,3,298.2,308.2,1446,38.2,61,0,No Failure
187,3,298.1,308.3,1301,56,63,0,No Failure
188,3,298.2,308.4,1379,43.1,65,0,No Failure
189,3,298.3,308.5,1606,33.6,67,0,No Failure
190,1,298.3,308.4,1539,43.4,69,0,No Failure
191,3,298.2,308.4,1477,49.9,72,0,No Failure
192,3,298.2,308.4,1666,34.6,74,0,No Failure
193,2,298.2,308.4,1398,51.8,76,0,No Failure
194,2,298.2,308.4,1678,34.6,81,0,No Failure
195,1,298.2,308.5,2678,10.7,86,1,Power Failure
196,3,298.3,308.5,1453,42.9,89,0,No Failure
197,2,298.3,308.6,1432,49.5,91,0,No Failure
198,1,298.4,308.6,1527,40.9,96,0,No Failure
199,3,298.4,308.7,1588,35,99,0,No Failure
200,3,298.4,308.6,1433,47.1,101,0,No Failure
201,3,298.4,308.6,1609,35,103,0,No Failure
202,3,298.3,308.5,1575,41.2,105,0,No Failure
203,1,298.4,308.5,1636,35.7,107,0,No Failure
204,3,298.4,308.5,1490,37.9,110,0,No Failure
205,3,298.4,308.5,1741,32.8,112,0,No Failure
206,1,298.5,308.6,1344,53,114,0,No Failure
207,3,298.5,308.7,1609,35.3,117,0,No Failure
208,1,298.4,308.7,1421,60.7,119,1,Power Failure
209,3,298.4,308.6,1591,36.7,122,0,No Failure
210,3,298.4,308.6,1477,44,124,0,No Failure
211,3,298.4,308.7,1523,36.1,126,0,No Failure
212,3,298.5,308.7,1575,33.9,128,0,No Failure
213,2,298.4,308.7,1344,52.9,130,0,No Failure
214,3,298.4,308.7,1386,44.9,135,0,No Failure
215,1,298.3,308.6,1589,37.1,137,0,No Failure
216,3,298.3,308.6,1548,40.3,140,0,No Failure
217,3,298.3,308.6,1499,38.3,142,0,No Failure
218,3,298.3,308.5,1664,31.6,144,0,No Failure
219,3,298.3,308.6,1447,38.1,146,0,No Failure
220,1,298.3,308.5,1434,46.2,148,0,No Failure
221,3,298.3,308.5,1416,52.7,151,0,No Failure
222,2,298.4,308.5,1827,24.3,153,0,No Failure
223,3,298.4,308.6,1304,45,158,0,No Failure
224,3,298.4,308.6,1569,34.4,160,0,No Failure
225,3,298.3,308.6,1584,29.3,162,0,No Failure
226,3,298.3,308.5,1362,53.8,164,0,No Failure
227,3,298.3,308.4,1329,49.2,166,0,No Failure
228,3,298.3,308.5,1539,36.1,168,0,No Failure
229,1,298.3,308.5,1629,37.1,170,0,No Failure
230,3,298.3,308.5,1538,32.2,173,0,No Failure
231,3,298.3,308.6,1570,34.8,175,0,No Failure
232,3,298.3,308.4,1408,43.1,177,0,No Failure
233,3,298.2,308.4,1424,47.6,179,0,No Failure
234,3,298.2,308.4,1512,34.9,181,0,No Failure
235,3,298.2,308.4,1478,42.9,183,0,No Failure
236,1,298.1,308.3,1680,33.7,185,0,No Failure
237,3,298.1,308.3,1495,38.7,188,0,No Failure
238,1,298,308.1,1552,36.6,190,0,No Failure
239,3,297.9,308.1,1393,50.3,193,0,No Failure
240,3,298,308.2,1611,30.6,195,0,No Failure
241,1,298,308.1,1339,51.6,197,0,No Failure
242,3,298,308.1,1777,24.3,200,0,No Failure
243,3,298,308.2,1348,58.8,202,1,Overstrain Failure
244,3,298,308.2,1442,44.1,204,0,No Failure
245,1,298,308.2,1395,49.1,206,0,No Failure
246,1,297.9,308.1,1627,31.4,209,0,No Failure
247,3,297.9,308.1,1585,33.5,212,0,No Failure
248,3,298,308.2,1469,45.5,214,0,No Failure
249,3,298,308.3,1362,56.8,216,1,Overstrain Failure
250,3,298,308.3,1405,56.2,218,1,Overstrain Failure
251,3,298,308.3,1662,32.7,0,0,No Failure
252,1,298,308.2,1466,42.6,2,0,No Failure
253,3,298,308.2,1620,35.8,5,0,No Failure
254,3,298,308.2,1357,48.2,7,0,No Failure
255,3,298,308.2,1514,37.9,9,0,No Failure
256,3,298,308.2,1489,40.4,11,0,No Failure
257,3,298.1,308.3,1331,63,13,0,No Failure
258,3,298,308,1615,29.5,15,0,No Failure
259,3,298.1,308.2,1482,37.9,17,0,No Failure
260,1,298.1,308.2,1420,63.9,19,1,Power Failure
261,1,298.2,308.3,1522,49.1,22,0,No Failure
262,3,298.1,308.2,1654,32.1,25,0,No Failure
263,1,298.1,308.2,1736,26.8,27,0,No Failure
264,1,298,308.1,1587,32.3,30,0,No Failure
265,3,298.1,308.2,1390,47.5,33,0,No Failure
266,3,298,308.1,1454,37.1,35,0,No Failure
267,2,298,308.1,1440,43.7,37,0,No Failure
268,3,297.9,308,1954,21.1,42,0,No Failure
269,2,297.9,308,1800,24.8,44,0,No Failure
270,3,298,308,1524,37,49,0,No Failure
271,2,298,308,1520,39.6,51,0,No Failure
272,1,298.1,308.1,1452,40.8,56,0,No Failure
273,3,298.1,308.1,1484,40.4,59,0,No Failure
274,3,298.1,308,1426,46,61,0,No Failure
275,3,298.1,308,1652,28.5,63,0,No Failure
276,3,298,308,1401,54.7,65,0,No Failure
277,1,298,307.9,1750,26.6,67,0,No Failure
278,2,298,308,1479,50.7,70,0,No Failure
279,1,298,308,1620,29.4,75,0,No Failure
280,3,298,308.1,1819,23.4,78,0,No Failure
281,1,298.1,308.1,1456,43.7,80,0,No Failure
282,3,298.1,308,1626,36.5,83,0,No Failure
283,1,298.1,308.1,1390,49.8,85,0,No Failure
284,3,298.2,308.2,1469,43,88,0,No Failure
285,3,298.2,308.3,2051,19.2,90,0,No Failure
286,3,298.2,308.3,1568,36,92,0,No Failure
287,3,298.2,308.3,1589,33.2,94,0,No Failure
288,3,298.2,308.3,1805,31.6,96,0,No Failure
289,2,298.2,308.4,1385,42.2,98,0,No Failure
290,3,298.1,308.4,1436,46.7,103,0,No Failure
291,3,298.1,308.4,1438,45.6,105,0,No Failure
292,3,298,308.3,1473,42.6,107,0,No Failure
293,3,298.1,308.4,1335,40.2,109,0,No Failure
294,2,298.1,308.5,1392,44.8,111,0,No Failure
295,1,298.1,308.5,1372,51.1,116,0,No Failure
296,1,298.1,308.6,1716,30.7,119,0,No Failure
297,3,298,308.5,1395,46.2,122,0,No Failure
298,3,298,308.5,1713,25.3,124,0,No Failure
299,2,297.9,308.5,2129,18.7,126,0,No Failure
300,1,297.8,308.3,1567,35.6,131,0,No Failure
301,3,297.8,308.4,1622,38.3,134,0,No Failure
302,3,297.7,308.4,1740,27.1,136,0,No Failure
303,2,297.8,308.4,1512,35.1,138,0,No Failure
304,1,297.8,308.4,1479,43.5,143,0,No Failure
305,3,297.8,308.4,1737,27.5,146,0,No Failure
306,3,297.8,308.4,2129,19.2,148,0,No Failure
307,3,297.8,308.4,1374,47.1,150,0,No Failure
308,1,297.8,308.4,1579,36.6,152,0,No Failure
309,3,297.9,308.5,1305,47.2,155,0,No Failure
310,1,297.9,308.5,1449,40.8,157,0,No Failure
311,2,298,308.6,1526,41.8,160,0,No Failure
312,1,298,308.6,1453,44.1,165,0,No Failure
313,3,297.9,308.6,1468,36,168,0,No Failure
314,3,298,308.6,1313,50.8,170,0,No Failure
315,1,297.9,308.5,1300,53,172,0,No Failure
316,3,297.9,308.4,1646,40.6,175,0,No Failure
317,3,297.8,308.4,1714,33.2,177,0,No Failure
318,3,297.8,308.4,1685,28.4,179,0,No Failure
319,3,297.8,308.4,1512,39.9,181,0,No Failure
320,3,297.8,308.4,1612,32.1,183,0,No Failure
321,2,297.8,308.4,1550,38.2,185,0,No Failure
322,3,297.8,308.4,1518,32.5,190,0,No Failure
323,3,297.8,308.5,1448,40,192,0,No Failure
324,3,297.8,308.5,1561,46.3,194,0,No Failure
325,1,297.8,308.5,1488,41.9,196,0,No Failure
326,3,297.8,308.5,1699,27.8,199,0,No Failure
327,3,297.7,308.5,1501,41.4,201,0,No Failure
328,3,297.7,308.5,1373,56.7,203,1,Overstrain Failure
329,2,297.6,308.4,1703,31.4,205,0,No Failure
330,2,297.7,308.5,1720,29.9,210,0,No Failure
331,1,297.6,308.4,1398,41.9,215,0,No Failure
332,1,297.6,308.4,1391,51.9,218,0,No Failure
333,1,297.6,308.3,1538,40.2,0,0,No Failure
334,3,297.5,308.2,1647,31.3,3,0,No Failure
335,1,297.5,308.1,1469,44.8,5,0,No Failure
336,3,297.4,308.1,1749,25.9,8,0,No Failure
337,1,297.6,308.2,1995,20.5,10,0,No Failure
338,3,297.6,308.3,1742,27.7,13,0,No Failure
339,3,297.5,308.2,1563,38.2,15,0,No Failure
340,1,297.5,308.2,1713,32.2,17,0,No Failure
341,3,297.4,308.1,1474,39.4,20,0,No Failure
342,1,297.4,308.2,1530,32.6,22,0,No Failure
343,3,297.4,308.2,1471,46.5,25,0,No Failure
344,3,297.5,308.3,1388,48.6,27,0,No Failure
345,1,297.5,308.2,2448,13.8,29,0,No Failure
346,3,297.5,308.3,1585,32.9,32,0,No Failure
347,1,297.5,308.3,1459,45.2,34,0,No Failure
348,3,297.5,308.3,1544,40.8,37,0,No Failure
349,3,297.6,308.3,1617,31.7,39,0,No Failure
350,3,297.6,308.3,1595,34.3,41,0,No Failure
351,2,297.6,308.3,1400,44.3,43,0,No Failure
352,1,297.6,308.4,1611,31,48,0,No Failure
353,1,297.6,308.4,1507,46,51,0,No Failure
354,2,297.5,308.3,1674,30,54,0,No Failure
355,3,297.6,308.3,1658,34.3,59,0,No Failure
356,3,297.6,308.3,1623,36.9,61,0,No Failure
357,1,297.6,308.4,1398,48.9,63,0,No Failure
358,3,297.6,308.4,1517,34.2,66,0,No Failure
359,1,297.6,308.3,1467,36.7,68,0,No Failure
360,1,297.6,308.3,1567,34.6,71,0,No Failure
361,1,297.5,308.3,1521,38.2,74,0,No Failure
362,3,297.5,308.3,1596,36.8,77,0,No Failure
363,2,297.6,308.3,1640,30.9,79,0,No Failure
364,3,297.6,308.3,1438,47.8,84,0,No Failure
365,3,297.6,308.4,1407,55.2,86,0,No Failure
366,3,297.6,308.4,1353,57.5,88,0,No Failure
367,1,297.6,308.5,1552,40.9,90,0,No Failure
368,1,297.6,308.4,1569,38.3,93,0,No Failure
369,3,297.5,308.4,1489,39.5,96,0,No Failure
370,2,297.5,308.4,1587,36.1,98,0,No Failure
371,1,297.5,308.3,1622,37.2,103,0,No Failure
372,3,297.5,308.4,1604,38.1,106,0,No Failure
373,1,297.4,308.3,1405,51.7,108,0,No Failure
374,3,297.4,308.3,1412,42,111,0,No Failure
375,3,297.4,308.3,1431,43,113,0,No Failure
376,3,297.4,308.2,1533,37.4,115,0,No Failure
377,1,297.4,308.2,1401,51.9,117,0,No Failure
378,1,297.4,308.2,1424,53.9,120,0,No Failure
379,3,297.3,308.2,1754,29.4,123,0,No Failure
380,3,297.3,308.2,1754,26.8,125,0,No Failure
381,3,297.5,308.3,2564,12.8,127,1,Power Failure
382,3,297.5,308.5,1546,40.4,129,0,No Failure
383,3,297.5,308.5,1335,48,131,0,No Failure
384,1,297.5,308.6,1842,27,133,0,No Failure
385,3,297.5,308.5,1712,26.8,136,0,No Failure
386,1,297.6,308.6,1414,45.4,138,0,No Failure
387,3,297.6,308.7,1319,50.9,141,0,No Failure
388,3,297.7,308.7,1249,60.4,143,0,No Failure
389,3,297.6,308.7,1455,48.2,145,0,No Failure
390,1,297.6,308.7,1408,54.8,147,0,No Failure
391,3,297.6,308.7,1460,46.7,150,0,No Failure
392,3,297.6,308.6,1491,38.1,152,0,No Failure
393,1,297.6,308.5,1490,43.4,154,0,No Failure
394,1,297.5,308.4,1350,52.2,157,0,No Failure
395,3,297.5,308.4,1528,39.9,160,0,No Failure
396,3,297.4,308.3,1571,37.7,162,0,No Failure
397,3,297.4,308.3,1490,42.6,164,0,No Failure
398,1,297.4,308.3,1774,28.9,166,0,No Failure
399,2,297.4,308.3,1502,43.6,169,0,No Failure
400,3,297.4,308.4,1392,49.7,174,0,No Failure
401,3,297.4,308.5,2100,16.9,176,0,No Failure
402,3,297.5,308.5,1722,30.4,178,0,No Failure
403,3,297.4,308.6,1678,32.3,180,0,No Failure
404,3,297.3,308.6,1273,59.8,182,0,No Failure
405,3,297.3,308.6,1297,45.9,184,0,No Failure
406,3,297.3,308.5,1350,57.6,186,0,No Failure
407,3,297.4,308.6,1439,51.9,188,0,No Failure
408,1,297.4,308.5,1600,42.1,190,0,No Failure
409,1,297.4,308.6,1434,44.4,193,0,No Failure
410,3,297.4,308.6,1459,41.3,196,0,No Failure
411,1,297.5,308.6,1472,44.9,198,0,No Failure
412,3,297.5,308.7,1429,44.3,201,0,No Failure
413,3,297.5,308.6,1388,48.2,203,0,No Failure
414,3,297.4,308.4,1573,34.5,205,0,No Failure
415,3,297.4,308.4,1588,32.5,207,0,No Failure
416,3,297.5,308.4,1511,42.8,209,0,No Failure
417,3,297.4,308.5,1495,37.8,211,0,No Failure
418,3,297.4,308.4,1394,50.1,213,0,No Failure
419,3,297.4,308.4,2151,17.7,0,0,No Failure
420,1,297.3,308.3,1501,38.2,2,0,No Failure
421,1,297.3,308.3,1301,39.6,5,0,No Failure
422,1,297.3,308.3,1657,31.1,8,0,No Failure
423,3,297.3,308.3,1333,55.2,11,0,No Failure
424,3,297.3,308.3,1484,43.9,13,0,No Failure
425,3,297.3,308.4,1430,45.7,15,0,No Failure
426,1,297.3,308.4,1665,28.9,17,0,No Failure
427,3,297.4,308.5,1501,44.9,20,0,No Failure
428,1,297.5,308.5,1496,42.2,22,0,No Failure
429,1,297.6,308.6,1595,36.9,25,0,No Failure
430,3,297.5,308.6,1208,62.3,28,0,No Failure
431,3,297.5,308.6,1596,37.1,30,0,No Failure
432,3,297.5,308.5,1446,41.9,32,0,No Failure
433,1,297.6,308.5,1466,39.7,34,0,No Failure
434,1,297.6,308.5,1848,23.7,37,0,No Failure
435,1,297.5,308.5,1484,44.7,40,0,No Failure
436,3,297.4,308.3,1493,41.2,43,0,No Failure
437,3,297.3,308.3,1504,36.3,45,0,No Failure
438,3,297.3,308.3,1538,38.5,47,0,No Failure
439,3,297.4,308.4,1341,52.2,49,0,No Failure
440,1,297.4,308.3,1535,34.6,51,0,No Failure
441,3,297.4,308.5,1389,39.2,54,0,No Failure
442,2,297.5,308.5,1393,46.6,56,0,No Failure
443,3,297.4,308.5,1399,61.5,61,1,Power Failure
444,2,297.4,308.5,1469,45.1,63,0,No Failure
445,3,297.4,308.4,1582,37.2,68,0,No Failure
446,3,297.5,308.6,1793,26.7,70,0,No Failure
447,3,297.5,308.6,1452,39,72,0,No Failure
448,1,297.6,308.7,1376,59.9,74,0,No Failure
449,3,297.5,308.6,1552,44.9,77,0,No Failure
450,3,297.6,308.7,1622,37.9,79,0,No Failure
451,1,297.6,308.7,1419,41.7,81,0,No Failure
452,2,297.5,308.6,1440,46.1,84,0,No Failure
453,1,297.4,308.6,1643,31,89,0,No Failure
454,3,297.4,308.7,1510,36.2,92,0,No Failure
455,3,297.4,308.7,1468,46.6,94,0,No Failure
456,3,297.4,308.7,1429,57.4,96,0,No Failure
457,2,297.3,308.7,1478,47.6,98,0,No Failure
458,3,297.4,308.6,1276,53.6,103,0,No Failure
459,3,297.3,308.6,1486,42.6,105,0,No Failure
460,3,297.4,308.6,1476,42.3,107,0,No Failure
461,2,297.3,308.6,1431,42,109,0,No Failure
462,3,297.4,308.7,1402,40.2,114,0,No Failure
463,3,297.4,308.7,1433,43.4,116,0,No Failure
464,3,297.4,308.7,2874,4.2,118,1,Power Failure
465,3,297.3,308.6,1511,35.7,120,0,No Failure
466,1,297.3,308.6,1456,42.9,122,0,No Failure
467,3,297.2,308.5,1550,41.5,125,0,No Failure
468,3,297.2,308.5,2182,16.5,127,0,No Failure
469,3,297.3,308.7,1619,31.6,129,0,No Failure
470,1,297.3,308.8,1586,32.7,131,0,No Failure
471,2,297.3,308.8,1499,44.2,134,0,No Failure
472,2,297.3,308.8,1419,42.4,139,0,No Failure
473,1,297.4,309,1497,41.8,144,0,No Failure
474,1,297.4,309,1520,37,147,0,No Failure
475,3,297.4,309.1,1478,49.8,150,0,No Failure
476,3,297.4,309.1,1380,41.1,152,0,No Failure
477,3,297.4,309,1570,37.9,154,0,No Failure
478,2,297.4,309,1468,41.4,156,0,No Failure
479,3,297.4,309,1833,22.6,161,0,No Failure
480,1,297.4,308.9,1323,57.3,163,0,No Failure
481,3,297.4,309,1583,32,166,0,No Failure
482,1,297.3,309,1556,39.5,168,0,No Failure
483,3,297.3,309,1548,37.4,171,0,No Failure
484,3,297.4,309,1324,56.9,173,0,No Failure
485,3,297.4,309,1568,33.7,175,0,No Failure
486,1,297.4,309,1685,30.7,177,0,No Failure
487,1,297.4,309.1,1582,35.9,180,0,No Failure
488,1,297.4,309.1,1463,35,183,0,No Failure
489,3,297.4,309.2,1584,42.8,186,0,No Failure
490,1,297.5,309.2,1347,55.8,188,0,No Failure
491,3,297.4,309.2,1459,37.9,191,0,No Failure
492,3,297.4,309.2,1420,45.6,193,0,No Failure
493,3,297.5,309.3,1404,43.5,195,0,No Failure
494,3,297.5,309.3,1470,38.8,197,0,No Failure
495,3,297.6,309.4,1326,49.8,199,0,No Failure
496,2,297.5,309.3,1459,49.7,201,0,No Failure
497,1,297.5,309.2,1530,40,206,0,No Failure
498,3,297.4,309,1505,39.2,209,0,No Failure
499,3,297.5,309.1,1611,30.2,211,0,No Failure
500,3,297.5,309.1,1515,35.1,213,0,No Failure
501,1,297.5,309.2,1804,27.4,215,0,No Failure
502,1,297.6,309.3,1464,46.2,218,0,No Failure
503,3,297.6,309.2,1390,43.3,221,0,No Failure
504,1,297.6,309.2,1442,48.1,0,0,No Failure
