 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve,target_class
131.7734375,46.85803274,-0.077511417,0.272260622,4.265050167,24.59982358,0
98.5625,40.05323606,,1.437456043,3.413879599,21.92511826,0
131.9609375,44.18027741,0.192329365,0.406702378,2.555183946,17.63987004,0
110.7890625,46.24217034,0.154800624,0.017427097,1.158862876,10.66178968,0
136.0625,42.71668109,,0.361931836,3.578595318,23.38959714,0
118.8046875,46.7792453,0.282037699,0.117742368,2.276755853,14.45704611,0
128.8125,45.60457591,-0.021829744,0.367626019,4.872909699,,0
112.5859375,37.17537141,0.084456105,1.379678654,14.41220736,53.97941654,0
132.6640625,56.39374374,-0.153433889,-0.682348594,3.18729097,16.53126274,0
124.828125,44.10748756,,0.865675377,1.475752508,14.31806332,0
103.0078125,48.70614952,0.238332347,-0.010529437,0.960702341,10.06239535,0
117.2890625,43.42039274,0.078452945,0.533665705,1.909698997,15.9215848,0
147.7109375,55.93301691,-0.419232164,-0.493051215,2.158862876,20.61422651,0
115.4609375,58.18490224,0.331789895,-0.478993736,1.5,13.98837908,0
116.234375,50.75346115,0.342410251,0.091198089,1.641304348,11.30998019,0
148.1171875,46.38217955,,0.029699801,2.637123746,16.33538826,0
101.6328125,42.31187612,0.667673695,1.086732511,0.775919732,10.15580738,0
93.2734375,34.48770497,0.733140039,3.108239721,2.045150502,15.17086524,0
133.2734375,48.00857912,0.022502268,-0.123905232,2.740802676,15.08292709,0
139.890625,38.53675891,-0.065194501,1.335937209,1.448996656,13.93270643,0
122.4296875,52.13948893,0.295059112,0.013024589,15.73996656,45.046614,0
139.78125,66.88947711,-0.280868669,-1.169241732,2.683946488,21.10137444,0
124.8671875,49.24529976,0.04565894,-0.160817322,2.652173913,20.42854633,0
134.203125,49.21181251,,0.151413844,2.596153846,15.98964815,0
121.7265625,45.79859353,0.395521947,0.469878693,1.376254181,12.78948034,0
96.8984375,47.00479361,0.495675632,0.529467661,1.039297659,13.65084047,0
109.6796875,46.94060968,0.300662823,-0.00894943,4.339464883,24.2772823,0
97.4140625,43.65749638,0.456108308,0.823766476,1.989966555,17.79918358,0
128.890625,52.09595029,0.090649498,-0.147498257,1.372073579,10.58337764,0
107.625,37.77668759,0.436000412,1.73132566,2.173913043,14.6358195,0
96.21875,42.14594018,,0.970000225,1.464046823,13.15534449,0
76.5703125,39.10596254,0.807330789,2.174818818,1.868729097,18.19906624,0
145.8359375,50.62419403,-0.181519541,-0.029142406,0.501672241,,0
106.890625,60.36881883,,-0.710808631,1.144648829,13.87660551,0
140.4296875,47.06406598,-0.048904984,0.499820383,0.543478261,10.08130572,0
101.2890625,39.74727828,0.668382061,1.695142493,2.071070234,16.33647454,0
138.8046875,47.95620701,0.052261198,0.144511739,4.719063545,26.45643237,0
121.8671875,50.26156134,0.101663708,-0.08782148,8.392976589,35.66212334,0
86.5625,33.18290929,0.803473542,4.018279676,2.364548495,16.36894484,0
60.296875,46.44508844,2.07886629,4.677566913,99.69816054,79.81386182,1
120.7265625,36.47317397,0.110689295,1.223632929,3.061036789,17.80342646,0
109.4453125,45.58436694,0.258934957,0.324588769,1.595317726,11.59828344,0
105.8515625,30.57549311,0.595646138,3.899363677,3.260033445,20.94119274,0
119.8046875,44.39208449,0.20889498,0.820881228,3.011705686,24.44781207,0
123.7109375,49.39717103,0.028392948,-0.274334322,4.110367893,24.02032708,0
121.1015625,51.76944681,-0.032284824,-0.33796855,1.35451505,10.4356479,0
123.828125,49.61289358,0.225556765,-0.067658364,1.367056856,14.85064614,0
108.9140625,51.42379485,0.108284036,-0.212734338,3.14548495,16.51771841,0
128.6328125,43.82027768,0.173075914,0.175957503,1.994983278,15.98672029,0
61.671875,36.37545304,2.265220701,8.709980861,5.593645485,29.62396029,1
128.2578125,41.2530768,-0.225800599,0.485866888,23.81688963,62.88881,0
142.2890625,49.05611461,-0.111128087,-0.096114076,15.65133779,49.30315077,0
151.609375,50.19528028,-0.352966276,-0.26863383,5.915551839,,0
141.1953125,41.90652891,0.042272873,0.392180358,2.548494983,16.65055432,0
110.0234375,41.40830699,0.340431133,0.603376608,0.718227425,9.763681022,0
133.0703125,56.08993665,-0.31269993,-0.405669597,19.85033445,54.98739754,0
100.9765625,43.2256913,0.302312855,0.515795646,6.659698997,32.01672454,0
130.3046875,53.43622931,-0.191159541,-0.565564884,2.726588629,19.95319763,0
115.0859375,50.8593384,0.129922059,-0.15021642,1.845317726,17.26476838,0
79.9375,35.63327755,1.076262683,3.581447394,1.014214047,,0
127.8046875,53.55838791,0.119318565,-0.360250434,1.923076923,12.25580618,0
114.5859375,59.537085,0.346220816,-0.705472728,3.777591973,26.55616311,1
130.9375,52.4000164,,-0.558537431,4.762541806,25.79706891,0
108.90625,48.72650676,-0.005444107,0.279033174,103.0936455,93.2691448,0
114.5546875,50.90490653,0.269434624,-0.261158229,2.672240803,17.73795504,0
127.921875,55.65246645,-0.157853185,-0.698161438,1.986622074,16.58372358,0
144.0859375,49.2923402,-0.065190361,-0.180708288,2.679765886,16.47396726,0
114.1640625,50.97407082,0.00336734,-0.312988521,1.214882943,12.03297362,0
115.890625,50.11459281,0.323824914,0.130624868,1.903846154,12.74216732,0
87.53125,38.65066653,0.450477233,1.557485679,3.081103679,,0
130.78125,47.61613065,0.001044529,-0.114471999,1.898829431,12.27727182,0
118.0390625,36.17630491,0.373326109,1.711139757,2.178093645,,0
125.3671875,49.26583995,-0.032366243,-0.119016489,2.556856187,14.59168722,0
131.40625,52.96924779,0.067051822,-0.366704922,175.5785953,88.16542302,0
109.203125,51.11298138,0.220206067,0.055751965,2.070234114,14.8237725,0
106.5,46.85716327,0.194971812,0.195138691,31.57608696,,0
9.7421875,30.26219953,7.088609518,50.95424904,84.11705686,59.36708836,1
102.875,43.57590361,0.680613625,1.188921894,4.350334448,25.98453055,0
95.8828125,48.97346557,0.545903436,0.730957013,1.739130435,12.56782963,0
130.1015625,49.1820343,0.101108121,0.011775402,2.397993311,14.62675411,0
135.078125,43.11713866,0.067585331,0.061427247,2.080267559,13.33960502,0
114.9609375,46.56286113,0.419055129,0.119018599,1.793478261,,0
133.4765625,48.63222389,-0.232863347,-0.102144782,3.754180602,24.89724248,0
122.7265625,48.97348052,-0.018332218,0.002608603,10.40217391,39.75924152,0
84.3359375,42.10260483,0.859224743,1.982141691,11.53344482,43.87085469,1
97.8125,38.59540735,0.441153552,1.814031082,3.320234114,21.14427962,0
107.546875,45.32001823,,0.741843588,1.622073579,11.82569821,0
118.171875,43.39698819,,0.769809411,2.565217391,16.54157408,0
115.078125,55.9505375,0.228534597,-0.465533862,2.299331104,20.36044019,0
105.9609375,48.5496528,,0.50094631,63.16722408,85.3273382,0
109.6171875,37.00593725,0.375889995,1.35308612,1.548494983,,0
114.203125,49.44589205,0.008293758,-0.141872468,2.486622074,15.34025422,0
119.546875,41.53741901,0.132766391,1.049137968,4.216555184,25.95131331,0
124.2109375,50.14972151,0.112007491,0.144351009,2.248327759,13.78669463,0
95.9296875,49.88693209,0.273500764,-0.321400647,27.05769231,69.24734531,0
66.4921875,33.84292672,2.542730429,10.99489305,7.834448161,33.66162057,1
108.125,46.4058186,0.428837305,0.234800176,2.015886288,,0
85.796875,39.86625284,0.580524256,1.452630674,1.621237458,13.5821365,0
121.765625,55.67897443,,-0.528603896,12.14882943,40.80393519,0
136.4453125,54.86628755,-0.158676799,-0.588693512,1.852842809,17.81416755,0
150.25,53.49328229,-0.221792439,-0.309404146,2.37541806,19.15764641,0
95.3671875,45.34225249,0.742338219,1.309664351,25.07441472,,0
143.7109375,47.21959212,-0.193884989,0.190579156,1.191471572,9.935542807,0
122.8125,39.16327002,0.176057944,0.782359685,3.902173913,21.11149638,0
122.3359375,48.86449333,0.079585207,-0.288818016,119.0326087,85.95590633,0
121.171875,48.48197303,-0.133282211,-0.132767876,3.699832776,,0
36.46875,39.27287102,3.736450963,14.9146447,111.1229097,75.71649359,1
111.2109375,44.75639835,0.049738567,0.126347724,0.887123746,10.24490091,0
133.0859375,52.80817694,-0.211585074,-0.295598653,4.035117057,26.52150205,0
137.75,51.56731038,-0.204780636,-0.122476171,111.027592,77.89253858,0
107.328125,50.27908197,,-0.224435364,4.903846154,,0
83.8125,40.59012927,0.611750363,1.617375621,1.977424749,14.7608129,0
121.84375,40.74874183,0.137360862,1.231334637,2.086956522,13.37693056,0
102.59375,52.77849312,0.576817027,0.098896545,147.1856187,75.29602001,0
77.984375,37.42262525,1.06864223,2.953030566,1.435618729,11.38685957,0
60.5234375,41.38122401,2.812397389,8.285401673,2.420568562,17.79649579,1
104.015625,47.70727545,0.10396473,0.553664436,102.9214047,66.95716079,0
105.2265625,55.72255698,,-0.479538943,2.586956522,18.5402472,0
126.984375,48.37709691,0.224752702,0.38636732,9.857023411,37.1910973,0
138.34375,56.09066844,0.012559794,-0.286798828,3.259197324,18.64506644,0
98.46875,40.45134761,0.314458878,0.886810107,1.683946488,13.0465635,0
138.3359375,49.13045093,-0.205287269,-0.226105863,49.89464883,80.5624912,0
130.6328125,53.13380384,0.163213636,-0.787813653,142.1856187,82.33954089,0
115.78125,48.15241711,0.170699268,-0.072645839,2.268394649,16.47626359,0
114.484375,44.2146724,0.027884059,0.149187376,1.198160535,15.08958854,0
98.453125,43.74836772,0.55690376,0.545368928,1.401337793,14.52789261,0
111.0703125,33.78335935,,2.310879482,1.699832776,12.82051424,0
132.09375,46.29498446,0.131189038,0.212466386,2.244147157,15.66109267,0
133.1328125,53.14225765,-0.126608942,0.059228296,3.99916388,24.23934789,0
117.21875,56.38773935,,-0.51490464,2.763377926,16.02866464,0
144.125,46.05957419,-0.163717546,-0.234824956,1.669732441,14.22233112,0
93.46875,45.98215304,0.333211478,0.323680061,1.275919732,12.06403436,0
106.234375,47.12657232,0.470331606,0.462411635,2.510869565,,0
127.8203125,45.15553565,,0.136251307,2.607023411,,0
114.171875,54.38895071,0.309801971,-0.471439018,8.150501672,,0
103.5078125,40.05367416,0.493948894,1.442413744,1.553511706,16.92160696,0
120.171875,54.39182346,0.127127492,-0.642442876,1.348662207,12.44074947,0
117.578125,46.88260095,0.091929594,-0.260848326,2.274247492,15.23862718,0
105.96875,42.85275252,,0.924778828,2.12541806,19.69600038,0
87.671875,41.07084378,0.610609396,1.245056491,2.205685619,14.05886458,0
130.1484375,47.80936915,,-0.201564654,2.337792642,16.65731562,0
120.8515625,46.70320015,0.083300036,0.447279133,1.809364548,11.76755556,0
83.0390625,46.09270589,1.674993962,3.460698399,59.11956522,53.954117,0
144.5546875,49.36832369,-0.134165552,0.003438096,4.556856187,27.77542425,0
41.7734375,30.20948083,3.552223686,20.28308868,12.72993311,43.22134994,1
123.9453125,51.22168556,-0.11719709,-0.289606488,1.698996656,16.74657752,0
139.640625,39.27442202,0.009475872,0.862941112,1.717391304,11.89939988,0
93.734375,45.36165168,0.486719086,0.603970414,0.764214047,10.51951159,0
128.2265625,57.49323531,-0.03705773,-0.429125702,4.14548495,25.44823399,0
135.46875,47.36690853,0.111350814,-0.05506863,4.212374582,25.05846103,0
125.9453125,49.80309801,-0.007521742,-0.221378284,1.75083612,,0
139.8359375,48.39643862,-0.056210836,-0.015617372,2.580267559,15.19052067,0
101.65625,40.0613665,,0.777562644,3.377926421,,0
111.3515625,46.17689998,0.501205706,0.413929451,5.799331104,,0
142.0859375,45.92895794,-0.152055718,0.061267439,1.734949833,12.86198214,0
55.5078125,51.49848239,2.076188454,4.156706332,7.33277592,33.81505319,1
71.5546875,39.39797119,1.800950705,5.818561928,4.835284281,26.45508832,1
138.3671875,53.7255571,-0.111208573,-0.402939199,1.902173913,,0
115.5,50.36864104,-0.002510193,-0.443382402,3.847826087,20.53910343,0
118.765625,42.16957663,0.479493506,0.55925885,5.732441472,30.62971186,0
133.5234375,53.43014786,0.186128622,-0.087891458,1.557692308,15.66094078,0
110.796875,54.8917058,0.245544714,-0.493729967,1.448160535,14.67769068,0
116.5390625,52.28167436,0.075312344,-0.433520599,2.12541806,16.87023034,0
33.328125,42.07862978,3.47873635,12.32436172,101.5953177,83.3898455,1
103.0078125,45.64956464,0.616439043,0.696161157,2.054347826,13.7114759,0
122.6328125,51.64782654,0.127531553,-0.02528834,3.507525084,22.67597354,0
114.921875,54.09260136,0.170221538,-0.610939454,2.058528428,14.66760767,0
147.25,50.59659697,-0.199381208,-0.362322805,1.621237458,15.23888434,0
111.140625,43.86676105,,0.588207638,1.464046823,14.32031598,0
151.9296875,61.1831502,-0.531144854,-0.571877226,75.02591973,73.55274878,0
108.890625,46.6391122,,1.096165284,3.131270903,22.00992461,0
139.6640625,47.97301933,-0.058233719,0.123057192,2.280936455,16.45083903,0
29.953125,38.36540177,4.153427856,17.81368022,141.4607023,62.66037052,1
115.8203125,32.94797831,,2.63058637,3.461538462,20.11886149,0
128.2265625,51.86132573,0.125156121,-0.476816314,1.727424749,13.04722386,0
125.0703125,50.57376784,-0.007886563,-0.322090337,2.011705686,18.28481094,0
148.25,44.53018639,-0.213224648,0.052532439,2.961538462,15.87193287,0
126.46875,46.92729375,0.097734271,-0.103949405,2.674749164,21.91932757,0
132.6953125,47.29504443,-0.155516985,-0.044360135,1.747491639,16.82031098,0
139.1953125,51.79361969,-0.240821501,-0.034691034,16.0367893,49.93211429,0
112.5859375,39.1472635,0.018943574,1.566673172,1.377926421,10.69613663,0
91.25,49.0600716,0.435025283,0.063733372,2.524247492,16.52873997,0
113.4921875,46.84765804,,0.009136227,2.428929766,16.05500992,0
174.25,50.65354134,-1.054651289,1.237030944,25.93645485,57.4399437,0
128.4609375,44.40789315,,-0.169525859,4.656354515,22.13461706,0
118.09375,48.40768235,0.082877488,-0.011905415,132.4147157,,0
133.859375,47.59935897,0.067098112,-0.377985873,1.898829431,18.13136656,0
18.8515625,35.76968205,5.190658282,27.66574162,63.01755853,65.77357171,1
82.7890625,40.26506945,0.740589489,1.871258295,1.757525084,13.74510196,0
115.359375,55.05419693,0.413834909,-0.419988282,3.269230769,,0
90.125,42.90341624,0.694570721,1.105027547,2.301003344,,0
144.7890625,49.46521068,-0.232265509,-0.29886941,3.0409699,17.59553456,0
101.6171875,42.92801407,0.384308288,0.56078363,2.211538462,,0
127.78125,47.14802778,-0.159473969,0.299721713,3.781772575,22.06220384,0
125.609375,49.4465043,0.206675254,-0.087822207,11.27675585,40.57598877,0
133.359375,43.40700087,-0.112716426,0.39648982,2.530936455,15.3560272,0
143.828125,56.15507398,-0.149178996,-0.549918126,3.712374582,22.18523901,0
133.2734375,60.16354207,-0.085433288,-0.730157945,2.988294314,17.9222549,0
126.0625,43.7503125,0.110424485,0.162166454,2.9590301,15.19953662,0
35.15625,30.2377138,4.20347482,24.4866906,34.10117057,62.57739528,1
128.921875,47.81762381,-0.067437794,0.095442447,1.530936455,15.4963545,0
86.234375,36.90835025,1.665532921,5.535417171,15.17976589,50.88779011,1
93.5546875,42.5717792,0.410201346,0.988715347,1.139632107,12.1412975,0
26.578125,31.82363739,5.502086902,31.52984285,134.798495,72.05558309,1
127.359375,51.18497924,-0.152842304,-0.40646326,3.834448161,20.81012305,0
115.40625,42.79464728,0.168750171,0.402605084,2.527591973,,0
127.109375,53.59749213,-0.117206658,-0.580528832,2.460702341,15.89164694,0
124.28125,50.56832283,0.2376565,-0.014235108,0.734113712,9.488659318,0
121.359375,59.79767115,-0.023317526,-0.696880594,1.632943144,15.85489865,0
111.296875,38.7188099,0.414414407,0.929036337,7.290133779,,0
118.8671875,49.53429543,0.173596984,-0.213549688,2.235785953,16.06517631,0
45.5390625,29.88020413,4.635340378,26.25011305,32.57274247,54.81280603,1
129.3125,53.04917383,0.073884697,-0.544251364,2.85451505,17.72001414,0
134.1328125,46.1719563,0.008403385,-0.009397683,4.820234114,23.90775105,0
88.25,39.04604653,0.57152249,1.47049275,4.650501672,25.66972355,0
125.0859375,40.09871167,0.011956914,1.011300611,0.908026756,13.41285146,0
148.1640625,50.12403013,,0.141801919,4.107859532,,0
119.1875,49.48638544,-0.057378358,-0.273948949,6.975752508,31.30468856,0
87.0625,43.6156419,0.59585834,1.129064733,2.377926421,15.84564913,0
123.53125,53.34878418,0.072077648,-0.071600995,0.781772575,10.57083301,0
113.484375,40.12012906,,0.92227997,1.558528428,12.24782088,0
58.21875,34.92982642,2.98209687,11.69646282,19.09949833,,1
84.3046875,38.20556213,,3.247342726,55.93143813,75.82274688,0
110.1796875,50.86462327,0.480249282,-0.024075919,2.556856187,18.18065084,0
120.7265625,46.0286451,,0.0774015,2.240802676,14.5617888,0
129.7734375,51.47742449,0.024982345,-0.323532742,11.57943144,42.4971714,0
107.3046875,47.93803921,,-0.124159851,3.498327759,20.24323242,0
113.96875,45.78651847,0.093161028,0.235490587,20.33361204,52.24981708,0
126.625,42.08158,0.040561635,0.510049159,1.897157191,17.89752394,0
121.203125,41.78167948,0.260014525,0.240895345,4.461538462,23.39981189,0
101.0625,49.96150862,0.214865992,0.050890203,4.93729097,28.96576079,0
106.9140625,44.02609797,,0.25520681,3.627090301,22.27063851,0
107.5546875,45.70708517,0.380769847,0.799653036,1.981605351,14.32919218,0
84.25,37.88469348,,2.217337953,1.829431438,,0
89.921875,45.41503216,0.445193064,0.295845191,6.964882943,30.95304089,0
130.765625,53.61108275,0.105363965,-0.059957328,7.868729097,,0
144.6875,43.27830541,-0.218640807,0.800714947,0.799331104,,0
112.140625,49.30402088,0.07840614,-0.116391428,0.697324415,11.48935931,0
53.53125,33.00093216,3.245248456,15.66956787,37.44147157,68.44858006,1
122.578125,51.53785159,0.275434304,-0.422357514,1.391304348,13.48543341,0
115.09375,43.19314136,0.578850344,0.847138712,1.454849498,13.26872255,0
100.7578125,44.0113171,0.51285338,0.484877898,1.487458194,15.65116203,0
128.8828125,52.4126686,-0.066159643,-0.572277978,7.602006689,32.15156096,0
90.984375,37.12668018,1.17655433,4.112162062,34.18478261,64.52126353,0
136.1640625,47.35302547,-0.265456587,0.172375793,3.214882943,16.25393637,0
133.28125,50.09942264,-0.157434458,-0.027823566,5.102842809,27.19310898,0
57.9921875,35.42432429,2.555852081,9.774398141,30.82274247,64.77966529,0
110.1015625,48.708771,0.518679192,0.343425168,1.065217391,12.33428323,0
121.4765625,46.34246919,0.148239193,0.18534396,12.0819398,38.73779849,0
82.7578125,37.50369692,,2.160988045,2.165551839,17.64380051,0
114.40625,45.64527589,0.043662775,0.114669323,2.091973244,13.2924364,0
112.4296875,35.53248593,0.290976003,1.689669757,2.470735786,18.13536005,1
16.5546875,47.36358843,4.062784725,15.06497082,112.583612,58.80159542,1
120.4765625,49.26474475,0.219906498,-0.056021639,3.41722408,19.49725144,0
17.03125,28.36754789,7.172622696,53.1934326,132.9749164,81.56521309,1
134.3984375,59.97178241,-0.311284144,-0.646057788,168.7366221,80.0180061,0
109.21875,46.88465526,0.311484889,0.417320413,1.222408027,11.64708324,0
130.765625,46.37996678,0.045897633,0.403622871,3.609531773,20.79435565,0
137.21875,45.39065458,0.034985286,0.134409084,3.204013378,17.17785726,0
126.8515625,53.12501321,0.056594489,-0.464809459,3.403846154,20.96752431,0
129.6171875,43.90510383,0.066045936,-0.002689519,5.132943144,28.53525458,0
60.1484375,49.56342052,2.042535958,4.475835277,7.959866221,36.35170628,1
124.1328125,60.76586355,,-1.18570551,2.12458194,,0
104.75,44.37482394,0.300411845,0.289506104,0.968227425,11.03910625,0
128.5234375,51.30179773,0.047370213,-0.288825261,3.565217391,,0
122.9453125,43.36785038,0.19834717,0.713727572,3.399665552,24.310852,0
81.4921875,51.49150356,1.036647925,0.812341004,2.401337793,15.91231612,0
102.2265625,44.21860024,0.561885505,0.553278062,1.456521739,,0
117.1484375,45.19680745,0.031669572,-0.000657034,3.638795987,20.31902662,0
110.5703125,41.14222352,0.307207974,0.863544494,3.055183946,17.27933882,0
146.9921875,50.88751322,-0.138513377,-0.196808404,115.0894649,75.93002757,0
117.3515625,54.76848858,-0.039511256,-0.437704335,4.483277592,25.24354061,0
144.3671875,47.78743152,0.027131368,-0.064177109,83.68729097,85.06135424,0
143.2109375,41.86653876,0.127639263,0.452241526,1.986622074,16.74313582,0
80.953125,38.9504612,0.615277704,1.980699648,0.647993311,10.41845245,0
34.8984375,30.92426228,4.422257175,24.95582131,103.4423077,76.23984673,1
150.296875,57.74964277,-0.313894204,-0.568722134,11.09949833,43.81296863,0
133.890625,41.16472898,-0.152566571,1.179817903,3.612876254,25.63683468,0
106.7421875,42.61991284,0.247116964,0.491630578,2.612876254,14.30794157,0
100.890625,36.56548799,0.247345878,1.463629724,1.585284281,12.01289375,0
98.4375,46.76816993,0.314367637,0.155035971,2.56270903,14.92389548,0
137.9453125,58.24132293,-0.004644844,-0.676629129,4.801839465,26.18939949,0
65.28125,37.85889458,2.192432526,8.421129231,64.80936455,,1
135.234375,55.18880723,-0.04827517,-0.459679198,1.412207358,11.66949335,0
115.2265625,47.1648066,0.19240603,0.188177509,2.290133779,14.29404311,0
136.875,42.29638726,0.044292161,0.301780579,0.904682274,9.813866963,0
98.3203125,41.64075032,0.548988838,0.77419789,2.256688963,14.93889999,0
108.453125,48.03235553,0.322747422,0.236921215,2.064381271,18.55120462,0
107.328125,50.88975667,0.21180438,-0.202179714,37.88461538,71.95790341,0
126.578125,41.28173199,0.05621777,0.480638225,1.566053512,11.09414643,0
104.4140625,40.07815165,0.702077603,1.468677058,1.556856187,12.01299233,0
