Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
27617,625.484,243.7987353,144.823862,1.683415509,0.804442587,27936,187.5181498,0.740640421,0.988581042,0.887061957,0.769151446,0.00882785,0.001905821,0.591593947,0.995898425,2
169969,1592.346,601.3500192,363.5449397,1.654128427,0.796568728,172267,465.2002281,0.745631775,0.986660243,0.842373509,0.773593104,0.003537998,0.000781606,0.598446291,0.989907021,3
37951,699.222,240.5254647,201.1487946,1.195758916,0.548288928,38269,219.8197306,0.775729207,0.991690402,0.975445298,0.913914587,0.00633779,0.002727345,0.835239872,0.998745524,7
43848,845.054,343.3073032,164.0269663,2.092993066,0.878476983,44478,236.2816276,0.671382637,0.985835694,0.771597354,0.688251096,0.007829486,0.001083679,0.473689571,0.991428988,6
51401,856.431,328.4893162,200.0197708,1.642284235,0.793240855,51860,255.8237398,0.832270078,0.991149248,0.880636485,0.778788616,0.006390718,0.001450133,0.606511708,0.996064616,4
41856,821.132,324.393372,164.8871647,1.96736582,0.861183682,42439,230.8521483,0.631788679,0.986262636,0.78008447,0.711642617,0.007750224,0.001226145,0.506435215,0.996343332,6
28942,638.382,242.3026956,153.1619974,1.582002714,0.77487853,29341,191.9637958,0.661410485,0.986401281,0.892436115,0.792247876,0.008372009,0.002034482,0.627656696,0.992954597,2
69673,1063.011,390.0669854,228.7240767,1.705404131,0.810042421,70866,297.8429432,0.744488967,0.983165411,0.774816495,0.763568706,0.005598539,0.001173943,0.583037168,0.994313996,1
33264,680.455,253.7941285,167.60947,1.514199219,0.75090074,33616,205.7985428,0.737560976,0.989528796,0.902787457,0.810887722,0.007629694,0.002034838,0.657538898,0.995644886,2
62289,1021.13,420.2957147,189.3852823,2.219262815,0.89272592,63078,281.6182132,0.579114718,0.987491677,0.750687443,0.670047786,0.006747511,0.00083897,0.448964036,0.99636919,6
29636,655.394,252.9319024,149.6310826,1.690370062,0.806241582,29983,194.2517108,0.786831276,0.988426775,0.867010841,0.768000038,0.008534617,0.001831508,0.589824059,0.997020931,2
39030,739.241,283.723807,175.6181537,1.6155722,0.785410104,39517,222.9227208,0.742834304,0.98767619,0.897503857,0.785703262,0.007269378,0.001708879,0.617329616,0.997340567,2
51492,867.948,347.5726681,189.2910008,1.836181681,0.83869045,51991,256.050094,0.704019688,0.990402185,0.85893878,0.736680751,0.006750032,0.001226317,0.542698528,0.996493096,6
61076,957.031,333.4937704,234.1825072,1.424076351,0.711970338,61989,278.8626516,0.744103314,0.98527158,0.837969939,0.836185489,0.005460308,0.001646673,0.699206172,0.995722975,1
29702,631.176,226.4472203,167.565085,1.351398594,0.672635329,30053,194.4678918,0.728561617,0.988320634,0.936902945,0.858778004,0.007623972,0.002557907,0.73749966,0.996656004,2
145285,1440.991,524.9567463,353.0769977,1.486805285,0.740021669,146709,430.0960442,0.786046637,0.990293711,0.879241351,0.819298061,0.003613289,0.001004269,0.671249312,0.998017026,3
36988,697.873,242.5012245,194.4981765,1.246804618,0.59725651,37312,217.0128666,0.762167731,0.991316467,0.954372508,0.8948939,0.006556213,0.002593696,0.800835093,0.998484891,7
80724,1071.17,416.3012603,247.5448111,1.68172081,0.804000203,81330,320.5947426,0.799722607,0.992548875,0.884088489,0.770102743,0.005157094,0.00111887,0.593058236,0.997358376,1
57134,948.593,371.0183606,197.9117962,1.874665218,0.845845112,57908,269.7133073,0.810434339,0.986633971,0.797893016,0.72695407,0.006493828,0.001118687,0.52846222,0.990689743,6
69900,1013.617,397.2660549,225.9760098,1.758001016,0.822456587,70844,298.3277462,0.668669167,0.986674948,0.854947149,0.75095202,0.005683348,0.001114892,0.563928936,0.991387642,5
28157,628.77,233.6673957,154.603181,1.511400957,0.749823596,28477,189.3425622,0.686086745,0.988762861,0.894978536,0.810308009,0.008298732,0.002206948,0.656599069,0.992384462,2
61170,983.061,391.1900894,199.4405968,1.961436617,0.860274939,61975,279.0771631,0.648977253,0.987010891,0.79540334,0.713405504,0.00639513,0.001021821,0.508947414,0.998268093,6
46154,812.216,298.7993042,197.6348286,1.511875748,0.750006889,46742,242.4151356,0.700066739,0.987420307,0.879176617,0.811297524,0.006473963,0.001730098,0.658203672,0.995122169,4
56932,952.347,375.4934805,195.0726649,1.9248903,0.854464294,57821,269.236093,0.647734771,0.984624963,0.788816286,0.717019354,0.006595473,0.001075349,0.514116755,0.989618354,6
33374,664.992,237.1469249,179.4741259,1.32134325,0.653640001,33704,206.1385373,0.779038282,0.990208877,0.948386327,0.869243982,0.007105739,0.002502394,0.755585101,0.998387273,2
55300,930.782,379.6827557,185.9231094,2.042149343,0.871902144,56000,265.3491037,0.626856197,0.9875,0.802119442,0.698870569,0.006865873,0.001010328,0.488420073,0.997426731,6
66358,981.292,376.3855561,226.5694504,1.661237009,0.798525438,67547,290.6709991,0.68608354,0.982397442,0.865977555,0.772269271,0.005672045,0.001244499,0.596399827,0.990761465,5
33702,678.75,245.952983,175.275076,1.403239917,0.701533464,34090,207.1490264,0.757416397,0.988618363,0.919275854,0.842230185,0.007297875,0.002265163,0.709351685,0.995390599,2
31682,646.721,210.0456816,192.2484159,1.092574316,0.402841974,32026,200.8451524,0.773184303,0.989258727,0.951893863,0.956197485,0.006629811,0.003418781,0.91431363,0.998955589,7
31335,635.011,216.7900923,184.1634403,1.177161395,0.52758671,31599,199.7422367,0.774277242,0.991645305,0.976510834,0.921362386,0.006918465,0.003075469,0.848908647,0.999302487,7
46906,819.195,312.0050158,192.6109674,1.619871496,0.786702019,47360,244.3820249,0.711926661,0.990413851,0.878342055,0.783263129,0.006651708,0.001544343,0.613501129,0.993792991,4
62278,995.754,404.3694213,197.1457639,2.051118996,0.873101348,63026,281.5933457,0.704263259,0.988131882,0.789296909,0.696376459,0.006492974,0.000941889,0.484940173,0.99467,6
37808,736.267,281.5460568,173.2103669,1.625457308,0.78836212,38822,219.4051975,0.763520336,0.973880789,0.876441427,0.779287055,0.007446732,0.001694086,0.607288315,0.987121229,2
25148,585.498,207.3732686,155.4842351,1.333725368,0.661687716,25433,178.9397331,0.714431818,0.988794086,0.92185472,0.862887171,0.008246114,0.002819974,0.74457427,0.993057592,2
36718,727.659,271.1585016,172.824467,1.568982138,0.770569578,37285,216.2193553,0.788786251,0.984792812,0.871431132,0.797391024,0.007384893,0.00184166,0.635832445,0.997609749,6
45524,799.609,299.969982,193.6621241,1.548934689,0.763671505,45998,240.754973,0.787994184,0.989695204,0.894736041,0.802596885,0.006589271,0.00168658,0.644161759,0.997764494,4
41732,793.483,268.5409336,198.3008082,1.354209981,0.674321466,42417,230.5099405,0.75964759,0.983850815,0.832920995,0.858379158,0.006434892,0.002154953,0.736814779,0.997801928,2
52502,895.985,349.7622227,192.6507381,1.815524956,0.834634044,53247,258.5490719,0.662076445,0.986008601,0.821834244,0.739213829,0.006661884,0.001227036,0.546437085,0.992070164,6
42041,776.552,287.8691487,186.3729721,1.54458635,0.762131268,42536,231.3617594,0.741725476,0.988362799,0.876076068,0.803704601,0.006847343,0.001762332,0.645941086,0.997711784,4
37393,699.759,237.2305761,200.9293747,1.180666473,0.531625954,37751,218.1977229,0.763870731,0.990516808,0.959628611,0.919770657,0.006344251,0.002800776,0.845978062,0.998817935,7
53866,961.806,387.1179249,177.923686,2.175752614,0.888120295,54788,261.8860846,0.605167959,0.983171497,0.731727921,0.676502088,0.007186684,0.000928506,0.457655075,0.995744227,6
44978,794.94,293.8469627,195.8789213,1.500145911,0.745413985,45648,239.3068496,0.708281499,0.985322468,0.894419591,0.814392796,0.006533126,0.001772705,0.663235626,0.994950212,4
33685,697.902,266.4420075,161.8765843,1.645957682,0.794282173,34140,207.0967746,0.809735577,0.986672525,0.869075546,0.777267731,0.007909812,0.001780855,0.604145126,0.994397311,2
31675,653.568,233.5736375,173.1356878,1.34907852,0.671232695,32010,200.8229633,0.786995627,0.98953452,0.931847678,0.859784372,0.007374069,0.00248568,0.739229166,0.99727819,2
66874,1024.488,408.2395189,209.5480011,1.948190948,0.858211215,67877,291.7989399,0.80164467,0.985223272,0.800669736,0.714773868,0.006104607,0.000982906,0.510901682,0.995334032,5
171028,1553.271,564.123032,387.7362456,1.454914361,0.726349373,172608,466.6472038,0.788961878,0.990846311,0.890804933,0.827208211,0.003298425,0.000952677,0.684273424,0.995559231,3
71992,1052.401,376.4976777,243.9985594,1.543032379,0.76157691,73278,302.7590813,0.773242825,0.982450394,0.816829847,0.804145946,0.005229715,0.001348955,0.646650703,0.997802973,1
39704,746.441,281.019252,180.3174391,1.558469627,0.766993298,40160,224.8392823,0.76923375,0.988645418,0.895474358,0.800084979,0.007077857,0.001789065,0.640135973,0.997632472,2
53164,918.957,387.9886115,175.4295807,2.211648742,0.891941221,53706,260.173994,0.708022587,0.989908018,0.791110471,0.670571213,0.007297957,0.00091025,0.449665752,0.994502695,6
60950,993.724,404.9700226,192.333172,2.105565142,0.880022565,61620,278.5748557,0.732924483,0.989126907,0.775625388,0.687890066,0.006644299,0.000917709,0.473192743,0.996338146,6
57271,990.081,355.8043692,206.0400353,1.726870065,0.815269045,58861,270.0364827,0.669640456,0.972987207,0.734181062,0.758946506,0.006212645,0.001271455,0.575999798,0.994676809,1
37851,726.205,263.247378,184.7009001,1.425263103,0.712546546,38379,219.5299296,0.769172932,0.986242476,0.901921526,0.833930166,0.006954833,0.002074843,0.695439522,0.991184291,4
42373,836.822,333.0176345,162.7437993,2.046269265,0.872455123,43049,232.2735009,0.807412348,0.984296964,0.760383875,0.697481085,0.007859194,0.001147328,0.486479863,0.995468792,6
69856,1020.927,366.0105966,243.4048424,1.503711237,0.746824392,70962,298.2338372,0.789761679,0.984414194,0.842217379,0.814822959,0.005239501,0.001424698,0.663936454,0.998368706,1
38284,716.131,250.4616552,195.1792736,1.283238996,0.626678306,38694,220.7820254,0.783817538,0.989404042,0.938085069,0.881500305,0.006542202,0.002436652,0.777042787,0.997131606,7
26813,594.891,210.7330502,162.4946757,1.296861262,0.636723133,27119,184.7684278,0.775592259,0.988716398,0.952095418,0.876789035,0.007859361,0.002865151,0.768759012,0.996973783,2
25757,604.185,237.5441197,138.2016314,1.718822834,0.813336518,26012,181.0934316,0.792084384,0.990196832,0.886676634,0.762357038,0.009222507,0.001921598,0.581188254,0.998959641,2
45094,815.759,317.137942,182.3225175,1.739433759,0.818223869,45553,239.6152416,0.807441627,0.989923825,0.851539654,0.755555265,0.007032819,0.001413755,0.570863758,0.992979692,4
55505,942.35,376.8615487,189.0142981,1.993825612,0.8651296,56160,265.8404802,0.822077076,0.988336895,0.785448114,0.705406219,0.006789686,0.001037019,0.497597934,0.992123506,6
32279,670.977,250.8205643,164.181397,1.527703924,0.755995254,32662,202.7286345,0.757189772,0.988273835,0.900979001,0.808261616,0.007770395,0.002045647,0.653286839,0.998028868,2
25401,596.589,229.0656383,141.542181,1.618356003,0.786248038,25745,179.8375869,0.715964823,0.986638182,0.89683014,0.785091942,0.009017977,0.002113348,0.616369358,0.997505051,2
42136,766.373,284.2758006,190.479229,1.492424146,0.742315242,42693,231.6230158,0.796220711,0.986953365,0.901535386,0.81478274,0.006746625,0.001834145,0.663870914,0.990776981,4
39998,720.425,251.3019462,202.8546516,1.238827625,0.59025779,40296,225.6701915,0.78868185,0.992604725,0.968435252,0.898004153,0.006282863,0.002520291,0.80641146,0.999004793,7
44141,765.323,271.778025,207.1410008,1.312043603,0.647377176,44515,237.0697508,0.797488708,0.991598338,0.947027306,0.87229183,0.006157043,0.002198868,0.760893037,0.998324842,7
83175,1111.879,400.1873429,266.1833759,1.503427258,0.746712517,84511,325.4254126,0.802731265,0.984191407,0.845449395,0.813182671,0.00481139,0.001297785,0.661266057,0.994165415,1
57222,918.039,359.1075928,205.1060696,1.750838449,0.820842283,58490,269.9209388,0.736258363,0.978321081,0.853199583,0.751643642,0.006275691,0.001235632,0.564968164,0.989167984,4
36156,687.239,238.8677906,193.0761368,1.237168894,0.58877486,36461,214.5582648,0.762736536,0.991634898,0.961999059,0.898230206,0.006606588,0.002652819,0.806817503,0.998169518,7
40120,762.206,281.6828655,182.1285948,1.546615268,0.76285194,40818,226.0140937,0.717761557,0.982899701,0.867812821,0.802370756,0.007021009,0.001795063,0.64379883,0.9957091,4
42670,773.906,289.5011372,188.4461702,1.536253759,0.759134219,43215,233.0861029,0.768067681,0.987388638,0.895274221,0.805130181,0.006784653,0.001758619,0.648234608,0.995852853,4
152869,1475.473,537.207402,365.4009172,1.470186244,0.733039629,154271,441.1789387,0.761098913,0.990912096,0.882402552,0.821245085,0.003514168,0.000986038,0.67444349,0.991557542,3
44385,768.664,255.6372875,221.4859426,1.15419193,0.499338424,44875,237.7240779,0.783190994,0.98908078,0.944002197,0.929927243,0.005759542,0.002656829,0.864764676,0.998104411,7
35240,697.995,251.5585481,178.7095536,1.40763906,0.703788679,35620,211.8229486,0.763034817,0.989331836,0.9089524,0.84204234,0.007138438,0.002213699,0.709035303,0.998065788,2
23090,558.141,209.5732133,140.4901513,1.49172886,0.74203322,23315,171.4616607,0.727060898,0.99034956,0.931420827,0.818146833,0.009076363,0.002508515,0.66936424,0.998509955,2
68843,1102.682,371.9794475,236.3442579,1.573888237,0.772208566,70506,296.0635573,0.775259009,0.976413355,0.71149046,0.795913751,0.005403301,0.001337528,0.633478699,0.997024673,1
59189,956.133,396.8444772,191.1172439,2.076445166,0.876395378,59771,274.5209927,0.610560954,0.990262836,0.813606203,0.69175964,0.0067047,0.000947065,0.478531399,0.993644211,6
60942,1020.605,413.9702693,187.8503174,2.203724088,0.891115115,61764,278.556573,0.678399679,0.986691276,0.735209624,0.672890286,0.006792857,0.000859032,0.452781337,0.997805139,6
32094,663.532,251.6524786,162.7261894,1.546478041,0.762803308,32408,202.1468524,0.800748503,0.990311034,0.916030571,0.803277812,0.007841107,0.002013818,0.645255244,0.997873065,2
42453,742.904,258.356186,209.5106195,1.233141244,0.585133318,42776,232.4926631,0.782875689,0.992449037,0.9666135,0.899891993,0.006085699,0.002461794,0.809805599,0.998604683,7
72624,1060.242,425.2045833,218.7976875,1.943368727,0.857448142,73654,304.0851011,0.779110434,0.986015695,0.8118579,0.715150102,0.005854877,0.000944684,0.511439668,0.993915857,5
39699,742.497,281.8956665,179.6556906,1.569088435,0.770605289,40047,224.8251247,0.771903558,0.991310211,0.904898826,0.797547289,0.007100825,0.001772207,0.636081679,0.998068406,2
45756,805.962,300.8542435,194.6219751,1.545839021,0.762576633,46527,241.3676627,0.784769745,0.983428977,0.885174274,0.802274417,0.006575187,0.001680272,0.64364424,0.994970382,4
34374,693.396,262.7596271,167.5498569,1.568247398,0.770322495,34808,209.2040538,0.796579533,0.987531602,0.898415576,0.796180357,0.007644139,0.00189476,0.633903161,0.994116983,2
32143,658.745,243.5473137,168.2202678,1.44778817,0.723133032,32455,202.301109,0.778884366,0.990386689,0.930811218,0.830643976,0.007576994,0.002225033,0.689969415,0.998929556,2
64214,1087.234,373.9952469,219.543195,1.703515551,0.809571451,66325,285.9367135,0.675823019,0.968171881,0.682642837,0.764546384,0.005824201,0.001227528,0.584531173,0.995757943,1
66107,1108.565,367.6165951,230.636709,1.593920571,0.778710167,67763,290.1207448,0.699352559,0.975561885,0.675981775,0.78919382,0.005560933,0.001330645,0.622826885,0.992736584,1
50181,846.314,307.4656482,208.9943326,1.471167397,0.733460291,50693,252.7695266,0.704710145,0.989899986,0.880412349,0.822106561,0.006127133,0.001726432,0.675859197,0.994302016,4
86338,1143.59,447.340553,247.2467346,1.809288013,0.833377903,87277,331.5553586,0.717474405,0.989241152,0.829604597,0.741169913,0.005181271,0.000964467,0.549332839,0.993901321,5
73909,1094.529,404.1282392,233.6211914,1.729844099,0.815975293,75016,306.763527,0.770366896,0.985243148,0.775269403,0.759074713,0.005467916,0.001119798,0.576194419,0.996726516,1
27058,613.873,223.252567,154.636081,1.443728822,0.721273038,27433,185.6106559,0.724405654,0.986330332,0.902294878,0.831393154,0.008250889,0.002431679,0.691214577,0.997926407,2
49354,802.838,282.13013,223.0529167,1.26485739,0.612329123,49750,250.6780096,0.78210573,0.992040201,0.962224432,0.888519101,0.005716459,0.002197728,0.789466194,0.998562149,7
55720,922.19,372.6116826,194.0394481,1.920288303,0.853706089,56939,266.3548525,0.722810295,0.978591124,0.823341781,0.714832263,0.006687216,0.001077064,0.510985165,0.981238835,6
33341,681.437,260.2936874,163.5800509,1.591231241,0.777854692,33685,206.0365979,0.79900786,0.989787739,0.902271135,0.79155434,0.007807015,0.001890548,0.626558273,0.996999098,2
52086,919.908,377.754574,176.7768065,2.136901223,0.883745756,53129,257.522727,0.706001952,0.980368537,0.773467516,0.681719679,0.007252516,0.000966255,0.464741721,0.993107152,6
153075,1456.617,522.3663458,374.7944989,1.393740696,0.696565119,154335,441.476096,0.801406224,0.991835941,0.906616009,0.845146514,0.003412486,0.001073937,0.714272629,0.995510832,3
39028,733.184,272.167639,183.2053668,1.485587698,0.739520281,39505,222.9170091,0.766969304,0.987925579,0.912347324,0.819043035,0.006973651,0.001935828,0.670831493,0.996579013,4
67412,1052.897,377.4220072,228.3895581,1.652536177,0.796126315,68526,292.9703469,0.792150411,0.983743397,0.764144162,0.776240763,0.005598736,0.001253879,0.602549723,0.995735215,1
34461,675.775,246.7254393,178.1577837,1.384870389,0.691799925,34691,209.4686324,0.770181477,0.993370038,0.948273245,0.84899487,0.007159555,0.00229449,0.72079229,0.998203899,7
22777,563.861,204.878906,141.8015588,1.444828306,0.721778845,23071,170.2955581,0.772049353,0.987256729,0.90024822,0.831201032,0.008994991,0.002648529,0.690895155,0.998224877,2
26529,600.701,222.451411,152.3261686,1.460362412,0.72876721,26852,183.7873007,0.725371175,0.987971101,0.923876741,0.826190762,0.008385217,0.002409991,0.682591175,0.996830494,2
29529,626.727,226.7241395,166.75948,1.35958771,0.677506167,29793,193.9007234,0.726849801,0.991138858,0.944717138,0.855227519,0.007678016,0.002533702,0.731414109,0.994421634,2
52921,901.041,364.5229899,185.5050335,1.965030183,0.860826806,53640,259.5787163,0.641653329,0.986595824,0.819122395,0.712105199,0.006888059,0.00109258,0.507093814,0.996454651,6
57641,938.653,333.5431815,223.8544724,1.490000079,0.74132981,59171,270.9073653,0.779775433,0.974142739,0.822112451,0.812210773,0.005786561,0.001553371,0.65968634,0.982932699,1
41130,751.167,278.9962563,187.7938233,1.485651932,0.739546771,41511,228.8413041,0.719005664,0.99082171,0.916000209,0.820230734,0.006783279,0.001893929,0.672778457,0.999514615,4
183243,1653.91,621.0828564,380.4553283,1.632472488,0.790418086,187180,483.0240511,0.783571942,0.97896677,0.841808896,0.777712742,0.003389395,0.000764854,0.604837109,0.98737994,3
64871,959.372,357.7626293,231.1965823,1.547439092,0.76314356,65510,287.3957594,0.769342979,0.990245764,0.885699457,0.803314085,0.005514986,0.00141666,0.64531352,0.998583367,1
33785,688.946,263.5970701,163.4553003,1.612655384,0.784526505,34226,207.4039489,0.780903291,0.987115059,0.894465144,0.786821905,0.007802192,0.0018446,0.61908871,0.998376742,2
57779,949.15,329.2330424,223.8914482,1.470502983,0.733175547,58873,271.2314651,0.716443265,0.981417628,0.805953863,0.823828201,0.005698144,0.001619048,0.678692905,0.998019941,1
45511,795.194,305.4453825,190.7410048,1.601361924,0.781050033,45897,240.7205951,0.79471598,0.991589864,0.904440608,0.788097018,0.006711463,0.00159704,0.62109691,0.994600943,4
46318,814.578,308.2402148,192.0232097,1.60522374,0.78224882,46793,242.8454431,0.745441378,0.989848909,0.877191287,0.787844776,0.006654869,0.001581546,0.620699392,0.996361399,4
49949,823.828,299.1147955,212.9170718,1.404841768,0.702357943,50448,252.1845396,0.757560591,0.990108627,0.924833526,0.84310286,0.005988404,0.001866436,0.710822433,0.998593043,7
35363,693.308,247.6217738,182.109893,1.359738176,0.677594516,35741,212.1922949,0.734983581,0.989423911,0.924499205,0.856920988,0.007002284,0.00232907,0.734313579,0.998474206,2
54982,916.327,373.1166089,188.3618504,1.980850199,0.863216602,55548,264.5850651,0.75978719,0.989810614,0.822866592,0.709121649,0.006786159,0.00105849,0.502853514,0.996077482,6
67012,1010.404,382.8597507,224.0108652,1.709112415,0.810961859,68008,292.0998603,0.807801726,0.985354664,0.82484497,0.762942199,0.005713301,0.00119408,0.5820808,0.994841521,1
29208,628.934,227.548644,163.6710597,1.390280263,0.694720877,29584,192.8439281,0.730382596,0.987290427,0.927900775,0.847484409,0.007790627,0.002479014,0.718229824,0.998540749,2
44005,786.321,286.3610421,196.9992376,1.453614976,0.72576749,44560,236.7042589,0.705208333,0.987544883,0.894359533,0.826593789,0.006507466,0.00187396,0.683257292,0.993193033,4
50769,845.587,323.4701551,200.5589541,1.612843249,0.78458359,51371,254.2461375,0.708787067,0.988281326,0.892260933,0.785995658,0.006371411,0.001500016,0.617789175,0.9963971,4
47899,825.844,317.3425191,194.2818935,1.633412735,0.790691234,48932,246.955261,0.79056909,0.978889071,0.882551942,0.778197834,0.006625243,0.001498793,0.605591869,0.989181471,4
43255,787.245,297.6927946,185.4316736,1.605404238,0.782304595,43833,234.6784534,0.786340169,0.986813588,0.87705405,0.788324265,0.006882275,0.001639575,0.621455147,0.997686726,4
76545,1087.242,423.8147902,230.933358,1.835225512,0.83850613,77800,312.1860358,0.801938188,0.983868895,0.813718612,0.736609583,0.005536806,0.001005515,0.542593678,0.99578176,1
