 Mean of the integrated profile, Standard deviation of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
128.8125,45.60457591,0.367626019,4.872909699,,40.15793412,0
112.5859375,37.17537141,1.379678654,14.41220736,53.97941654,10.35561243,0
132.6640625,56.39374374,-0.682348594,3.18729097,16.53126274,75.8111878,0
124.828125,44.10748756,0.865675377,1.475752508,14.31806332,144.9861215,0
103.0078125,48.70614952,-0.010529437,0.960702341,10.06239535,359.8311141,0
117.2890625,43.42039274,0.533665705,1.909698997,15.9215848,105.3946846,0
147.7109375,55.93301691,-0.493051215,2.158862876,20.61422651,101.7108027,0
115.4609375,58.18490224,-0.478993736,1.5,13.98837908,177.3936502,0
116.234375,50.75346115,0.091198089,1.641304348,11.30998019,233.8960053,0
148.1171875,46.38217955,0.029699801,2.637123746,16.33538826,87.22365527,0
101.6328125,42.31187612,1.086732511,0.775919732,10.15580738,363.8950596,0
93.2734375,34.48770497,3.108239721,2.045150502,15.17086524,110.0131655,0
133.2734375,48.00857912,-0.123905232,2.740802676,15.08292709,96.51837908,0
139.890625,38.53675891,1.335937209,1.448996656,13.93270643,180.838643,0
122.4296875,52.13948893,0.013024589,15.73996656,45.046614,7.745976362,0
139.78125,66.88947711,-1.169241732,2.683946488,21.10137444,79.95945791,0
124.8671875,49.24529976,-0.160817322,2.652173913,20.42854633,93.52595981,0
134.203125,49.21181251,0.151413844,2.596153846,15.98964815,95.56160728,0
121.7265625,45.79859353,0.469878693,1.376254181,12.78948034,176.79078,0
96.8984375,47.00479361,0.529467661,1.039297659,13.65084047,233.5906772,0
109.6796875,46.94060968,-0.00894943,4.339464883,24.2772823,44.19212674,0
97.4140625,43.65749638,0.823766476,1.989966555,17.79918358,111.8042062,0
128.890625,52.09595029,-0.147498257,1.372073579,10.58337764,291.6838658,0
107.625,37.77668759,1.73132566,2.173913043,14.6358195,111.7509017,0
96.21875,42.14594018,0.970000225,1.464046823,13.15534449,182.5616543,0
76.5703125,39.10596254,2.174818818,1.868729097,18.19906624,115.6891888,0
145.8359375,50.62419403,-0.029142406,0.501672241,,880.1561192,0
106.890625,60.36881883,-0.710808631,1.144648829,13.87660551,246.2772252,0
140.4296875,47.06406598,0.499820383,0.543478261,10.08130572,532.2214245,0
101.2890625,39.74727828,1.695142493,2.071070234,16.33647454,99.14919639,0
138.8046875,47.95620701,0.144511739,4.719063545,26.45643237,43.34347306,0
121.8671875,50.26156134,-0.08782148,8.392976589,35.66212334,18.46770379,0
86.5625,33.18290929,4.018279676,2.364548495,16.36894484,86.85427143,0
60.296875,46.44508844,4.677566913,99.69816054,79.81386182,-1.173577082,1
120.7265625,36.47317397,1.223632929,3.061036789,17.80342646,82.29515076,0
109.4453125,45.58436694,0.324588769,1.595317726,11.59828344,215.8325409,0
105.8515625,30.57549311,3.899363677,3.260033445,20.94119274,,0
119.8046875,44.39208449,0.820881228,3.011705686,24.44781207,63.59336881,0
123.7109375,49.39717103,-0.274334322,4.110367893,24.02032708,54.05241061,0
121.1015625,51.76944681,-0.33796855,1.35451505,10.4356479,308.5622582,0
123.828125,49.61289358,-0.067658364,1.367056856,14.85064614,198.7125278,0
108.9140625,51.42379485,-0.212734338,3.14548495,16.51771841,83.85962351,0
128.6328125,43.82027768,0.175957503,1.994983278,15.98672029,104.7606871,0
61.671875,36.37545304,8.709980861,5.593645485,29.62396029,38.23599074,1
128.2578125,41.2530768,0.485866888,23.81688963,62.88881,4.001859336,0
142.2890625,49.05611461,-0.096114076,15.65133779,49.30315077,8.20273753,0
151.609375,50.19528028,-0.26863383,5.915551839,,34.97496404,0
141.1953125,41.90652891,0.392180358,2.548494983,16.65055432,95.09153792,0
110.0234375,41.40830699,0.603376608,0.718227425,9.763681022,508.6851987,0
133.0703125,56.08993665,-0.405669597,19.85033445,54.98739754,5.41962489,0
100.9765625,43.2256913,0.515795646,6.659698997,32.01672454,30.19260845,0
130.3046875,53.43622931,-0.565564884,2.726588629,19.95319763,69.60499262,0
115.0859375,50.8593384,-0.15021642,1.845317726,17.26476838,117.2032047,0
79.9375,35.63327755,3.581447394,1.014214047,,245.8090794,0
127.8046875,53.55838791,-0.360250434,1.923076923,12.25580618,170.1499551,0
114.5859375,59.537085,-0.705472728,3.777591973,26.55616311,60.45059899,1
130.9375,52.4000164,-0.558537431,4.762541806,25.79706891,44.34794277,0
108.90625,48.72650676,0.279033174,103.0936455,93.2691448,-1.903601932,0
114.5546875,50.90490653,-0.261158229,2.672240803,17.73795504,81.24054453,0
127.921875,55.65246645,-0.698161438,1.986622074,16.58372358,124.8907766,0
144.0859375,49.2923402,-0.180708288,2.679765886,16.47396726,75.93746199,0
114.1640625,50.97407082,-0.312988521,1.214882943,12.03297362,218.3875382,0
115.890625,50.11459281,0.130624868,1.903846154,12.74216732,170.6095746,0
87.53125,38.65066653,1.557485679,3.081103679,,64.38405498,0
130.78125,47.61613065,-0.114471999,1.898829431,12.27727182,180.1409052,0
118.0390625,36.17630491,1.711139757,2.178093645,,113.6424732,0
125.3671875,49.26583995,-0.119016489,2.556856187,14.59168722,105.5824476,0
131.40625,52.96924779,-0.366704922,175.5785953,88.16542302,-0.224693974,0
109.203125,51.11298138,0.055751965,2.070234114,14.8237725,129.8853999,0
106.5,46.85716327,0.195138691,31.57608696,,1.348606691,0
9.7421875,30.26219953,50.95424904,84.11705686,59.36708836,0.556315962,1
102.875,43.57590361,1.188921894,4.350334448,25.98453055,44.61361827,0
95.8828125,48.97346557,0.730957013,1.739130435,12.56782963,174.4031315,0
130.1015625,49.1820343,0.011775402,2.397993311,14.62675411,101.1514239,0
135.078125,43.11713866,0.061427247,2.080267559,13.33960502,135.7853557,0
114.9609375,46.56286113,0.119018599,1.793478261,,131.2517845,0
133.4765625,48.63222389,-0.102144782,3.754180602,24.89724248,54.14399937,0
122.7265625,48.97348052,0.002608603,10.40217391,39.75924152,15.51974367,0
84.3359375,42.10260483,1.982141691,11.53344482,43.87085469,14.9778981,1
97.8125,38.59540735,1.814031082,3.320234114,21.14427962,69.13862025,0
107.546875,45.32001823,0.741843588,1.622073579,11.82569821,199.7906326,0
118.171875,43.39698819,0.769809411,2.565217391,16.54157408,86.45863399,0
115.078125,55.9505375,-0.465533862,2.299331104,20.36044019,99.77506737,0
105.9609375,48.5496528,0.50094631,63.16722408,85.3273382,-1.547940266,0
109.6171875,37.00593725,1.35308612,1.548494983,,183.266663,0
114.203125,49.44589205,-0.141872468,2.486622074,15.34025422,109.2857195,0
119.546875,41.53741901,1.049137968,4.216555184,25.95131331,43.06361551,0
124.2109375,50.14972151,0.144351009,2.248327759,13.78669463,130.2123271,0
95.9296875,49.88693209,-0.321400647,27.05769231,69.24734531,2.803189926,0
66.4921875,33.84292672,10.99489305,7.834448161,33.66162057,26.9122828,1
108.125,46.4058186,0.234800176,2.015886288,,105.9008688,0
85.796875,39.86625284,1.452630674,1.621237458,13.5821365,156.557796,0
121.765625,55.67897443,-0.528603896,12.14882943,40.80393519,11.16470595,0
136.4453125,54.86628755,-0.588693512,1.852842809,17.81416755,127.1433921,0
150.25,53.49328229,-0.309404146,2.37541806,19.15764641,116.0802966,0
95.3671875,45.34225249,1.309664351,25.07441472,,1.262354826,0
143.7109375,47.21959212,0.190579156,1.191471572,9.935542807,371.4528926,0
122.8125,39.16327002,0.782359685,3.902173913,21.11149638,47.98775704,0
122.3359375,48.86449333,-0.288818016,119.0326087,85.95590633,-1.512690424,0
121.171875,48.48197303,-0.132767876,3.699832776,,67.71918387,0
36.46875,39.27287102,14.9146447,111.1229097,75.71649359,-0.936103674,1
111.2109375,44.75639835,0.126347724,0.887123746,10.24490091,358.504497,0
133.0859375,52.80817694,-0.295598653,4.035117057,26.52150205,48.70415228,0
137.75,51.56731038,-0.122476171,111.027592,77.89253858,-1.348618574,0
107.328125,50.27908197,-0.224435364,4.903846154,,37.75569403,0
83.8125,40.59012927,1.617375621,1.977424749,14.7608129,134.2461138,0
121.84375,40.74874183,1.231334637,2.086956522,13.37693056,147.25912,0
102.59375,52.77849312,0.098896545,147.1856187,75.29602001,-0.130999459,0
77.984375,37.42262525,2.953030566,1.435618729,11.38685957,244.4614268,0
60.5234375,41.38122401,8.285401673,2.420568562,17.79649579,118.6298063,1
104.015625,47.70727545,0.553664436,102.9214047,66.95716079,-1.159350765,0
105.2265625,55.72255698,-0.479538943,2.586956522,18.5402472,84.57739566,0
126.984375,48.37709691,0.38636732,9.857023411,37.1910973,14.82668149,0
138.34375,56.09066844,-0.286798828,3.259197324,18.64506644,65.33364684,0
98.46875,40.45134761,0.886810107,1.683946488,13.0465635,227.4718075,0
138.3359375,49.13045093,-0.226105863,49.89464883,80.5624912,-0.166435935,0
130.6328125,53.13380384,-0.787813653,142.1856187,82.33954089,-0.923200345,0
115.78125,48.15241711,-0.072645839,2.268394649,16.47626359,115.7066643,0
114.484375,44.2146724,0.149187376,1.198160535,15.08958854,178.6200991,0
98.453125,43.74836772,0.545368928,1.401337793,14.52789261,,0
111.0703125,33.78335935,2.310879482,1.699832776,12.82051424,171.0234465,0
132.09375,46.29498446,0.212466386,2.244147157,15.66109267,118.2008067,0
133.1328125,53.14225765,0.059228296,3.99916388,24.23934789,54.07947647,0
117.21875,56.38773935,-0.51490464,2.763377926,16.02866464,92.89865266,0
144.125,46.05957419,-0.234824956,1.669732441,14.22233112,178.2883233,0
93.46875,45.98215304,0.323680061,1.275919732,12.06403436,230.4949919,0
106.234375,47.12657232,0.462411635,2.510869565,,96.82954146,0
127.8203125,45.15553565,0.136251307,2.607023411,,90.2469822,0
114.171875,54.38895071,-0.471439018,8.150501672,,23.08969583,0
103.5078125,40.05367416,1.442413744,1.553511706,16.92160696,155.3227666,0
120.171875,54.39182346,-0.642442876,1.348662207,12.44074947,217.4031374,0
117.578125,46.88260095,-0.260848326,2.274247492,15.23862718,103.5689514,0
105.96875,42.85275252,0.924778828,2.12541806,19.69600038,106.9360205,0
87.671875,41.07084378,1.245056491,2.205685619,14.05886458,125.782002,0
130.1484375,47.80936915,-0.201564654,2.337792642,16.65731562,98.48469875,0
120.8515625,46.70320015,0.447279133,1.809364548,11.76755556,201.6532056,0
83.0390625,46.09270589,3.460698399,59.11956522,53.954117,-0.177076013,0
144.5546875,49.36832369,0.003438096,4.556856187,27.77542425,50.59069134,0
41.7734375,30.20948083,20.28308868,12.72993311,43.22134994,14.13000943,1
123.9453125,51.22168556,-0.289606488,1.698996656,16.74657752,150.0962823,0
139.640625,39.27442202,0.862941112,1.717391304,11.89939988,195.5969318,0
93.734375,45.36165168,0.603970414,0.764214047,10.51951159,369.5528598,0
128.2265625,57.49323531,-0.429125702,4.14548495,25.44823399,49.72000315,0
135.46875,47.36690853,-0.05506863,4.212374582,25.05846103,49.36971326,0
125.9453125,49.80309801,-0.221378284,1.75083612,,143.2169707,0
139.8359375,48.39643862,-0.015617372,2.580267559,15.19052067,94.02279185,0
101.65625,40.0613665,0.777562644,3.377926421,,54.22525788,0
111.3515625,46.17689998,0.413929451,5.799331104,,32.60251571,0
142.0859375,45.92895794,0.061267439,1.734949833,12.86198214,159.2803401,0
55.5078125,51.49848239,4.156706332,7.33277592,33.81505319,25.43865862,1
71.5546875,39.39797119,5.818561928,4.835284281,26.45508832,42.25289482,1
138.3671875,53.7255571,-0.402939199,1.902173913,,,0
115.5,50.36864104,-0.443382402,3.847826087,20.53910343,56.86715207,0
118.765625,42.16957663,0.55925885,5.732441472,30.62971186,34.32272154,0
133.5234375,53.43014786,-0.087891458,1.557692308,15.66094078,128.0259026,0
110.796875,54.8917058,-0.493729967,1.448160535,14.67769068,143.7556606,0
116.5390625,52.28167436,-0.433520599,2.12541806,16.87023034,91.01578472,0
33.328125,42.07862978,12.32436172,101.5953177,83.3898455,-1.330800683,1
103.0078125,45.64956464,0.696161157,2.054347826,13.7114759,145.4333334,0
122.6328125,51.64782654,-0.02528834,3.507525084,22.67597354,53.6419203,0
114.921875,54.09260136,-0.610939454,2.058528428,14.66760767,130.2293738,0
147.25,50.59659697,-0.362322805,1.621237458,15.23888434,143.9284869,0
111.140625,43.86676105,0.588207638,1.464046823,14.32031598,156.9475357,0
151.9296875,61.1831502,-0.571877226,75.02591973,73.55274878,-0.008210958,0
108.890625,46.6391122,1.096165284,3.131270903,22.00992461,85.18559416,0
139.6640625,47.97301933,0.123057192,2.280936455,16.45083903,121.7322717,0
29.953125,38.36540177,17.81368022,141.4607023,62.66037052,-0.757497279,1
115.8203125,32.94797831,2.63058637,3.461538462,20.11886149,55.5504988,0
128.2265625,51.86132573,-0.476816314,1.727424749,13.04722386,162.0751265,0
125.0703125,50.57376784,-0.322090337,2.011705686,18.28481094,103.4500512,0
148.25,44.53018639,0.052532439,2.961538462,15.87193287,85.78354849,0
126.46875,46.92729375,-0.103949405,2.674749164,21.91932757,76.30278061,0
132.6953125,47.29504443,-0.044360135,1.747491639,16.82031098,,0
139.1953125,51.79361969,-0.034691034,16.0367893,49.93211429,7.80243152,0
112.5859375,39.1472635,1.566673172,1.377926421,10.69613663,290.0193681,0
91.25,49.0600716,0.063733372,2.524247492,16.52873997,,0
113.4921875,46.84765804,0.009136227,2.428929766,16.05500992,88.79062641,0
174.25,50.65354134,1.237030944,25.93645485,57.4399437,1.896178137,0
128.4609375,44.40789315,-0.169525859,4.656354515,22.13461706,46.65180069,0
118.09375,48.40768235,-0.011905415,132.4147157,,-1.443497102,0
133.859375,47.59935897,-0.377985873,1.898829431,18.13136656,140.0004875,0
18.8515625,35.76968205,27.66574162,63.01755853,65.77357171,0.080799131,1
82.7890625,40.26506945,1.871258295,1.757525084,13.74510196,142.0079002,0
115.359375,55.05419693,-0.419988282,3.269230769,,78.82876784,0
90.125,42.90341624,1.105027547,2.301003344,,114.2138095,0
144.7890625,49.46521068,-0.29886941,3.0409699,17.59553456,86.80656206,0
101.6171875,42.92801407,0.56078363,2.211538462,,128.6810132,0
127.78125,47.14802778,0.299721713,3.781772575,22.06220384,53.62233903,0
125.609375,49.4465043,-0.087822207,11.27675585,40.57598877,,0
133.359375,43.40700087,0.39648982,2.530936455,15.3560272,90.16391681,0
143.828125,56.15507398,-0.549918126,3.712374582,22.18523901,55.76044216,0
133.2734375,60.16354207,-0.730157945,2.988294314,17.9222549,77.67475322,0
126.0625,43.7503125,0.162166454,2.9590301,15.19953662,84.44034542,0
35.15625,30.2377138,24.4866906,34.10117057,62.57739528,2.57213265,1
128.921875,47.81762381,0.095442447,1.530936455,15.4963545,167.0742339,0
86.234375,36.90835025,5.535417171,15.17976589,50.88779011,9.113489622,1
93.5546875,42.5717792,0.988715347,1.139632107,12.1412975,208.7225482,0
26.578125,31.82363739,31.52984285,134.798495,72.05558309,-1.211265258,1
127.359375,51.18497924,-0.40646326,3.834448161,20.81012305,54.56052425,0
115.40625,42.79464728,0.402605084,2.527591973,,81.8654112,0
127.109375,53.59749213,-0.580528832,2.460702341,15.89164694,101.1438395,0
124.28125,50.56832283,-0.014235108,0.734113712,9.488659318,453.9086925,0
121.359375,59.79767115,-0.696880594,1.632943144,15.85489865,,0
111.296875,38.7188099,0.929036337,7.290133779,,21.18512014,0
118.8671875,49.53429543,-0.213549688,2.235785953,16.06517631,101.1355316,0
45.5390625,29.88020413,26.25011305,32.57274247,54.81280603,3.389580912,1
129.3125,53.04917383,-0.544251364,2.85451505,17.72001414,83.14328076,0
134.1328125,46.1719563,-0.009397683,4.820234114,23.90775105,36.94532221,0
88.25,39.04604653,1.47049275,4.650501672,25.66972355,40.9873884,0
125.0859375,40.09871167,1.011300611,0.908026756,13.41285146,254.1781949,0
148.1640625,50.12403013,0.141801919,4.107859532,,71.48051326,0
119.1875,49.48638544,-0.273948949,6.975752508,31.30468856,26.32192228,0
87.0625,43.6156419,1.129064733,2.377926421,15.84564913,94.21052206,0
123.53125,53.34878418,-0.071600995,0.781772575,10.57083301,339.6608262,0
113.484375,40.12012906,0.92227997,1.558528428,12.24782088,189.724442,0
58.21875,34.92982642,11.69646282,19.09949833,,,1
84.3046875,38.20556213,3.247342726,55.93143813,75.82274688,-0.681004384,0
110.1796875,50.86462327,-0.024075919,2.556856187,18.18065084,87.53265385,0
120.7265625,46.0286451,0.0774015,2.240802676,14.5617888,118.2733024,0
129.7734375,51.47742449,-0.323532742,11.57943144,42.4971714,11.85690397,0
107.3046875,47.93803921,-0.124159851,3.498327759,20.24323242,65.33451214,0
113.96875,45.78651847,0.235490587,20.33361204,52.24981708,5.058425982,0
126.625,42.08158,0.510049159,1.897157191,17.89752394,121.3865424,0
121.203125,41.78167948,0.240895345,4.461538462,23.39981189,49.368631,0
101.0625,49.96150862,0.050890203,4.93729097,28.96576079,39.08537459,0
106.9140625,44.02609797,0.25520681,3.627090301,22.27063851,,0
107.5546875,45.70708517,0.799653036,1.981605351,14.32919218,134.473229,0
84.25,37.88469348,2.217337953,1.829431438,,158.2677374,0
89.921875,45.41503216,0.295845191,6.964882943,30.95304089,29.30172472,0
130.765625,53.61108275,-0.059957328,7.868729097,,23.32428341,0
144.6875,43.27830541,0.800714947,0.799331104,,336.6940161,0
112.140625,49.30402088,-0.116391428,0.697324415,11.48935931,373.2043379,0
53.53125,33.00093216,15.66956787,37.44147157,68.44858006,1.566517028,1
122.578125,51.53785159,-0.422357514,1.391304348,13.48543341,179.6732358,0
115.09375,43.19314136,0.847138712,1.454849498,13.26872255,192.5781474,0
100.7578125,44.0113171,0.484877898,1.487458194,15.65116203,147.8307712,0
128.8828125,52.4126686,-0.572277978,7.602006689,32.15156096,18.259125,0
90.984375,37.12668018,4.112162062,34.18478261,64.52126353,1.078892484,0
136.1640625,47.35302547,0.172375793,3.214882943,16.25393637,68.20068854,0
133.28125,50.09942264,-0.027823566,5.102842809,27.19310898,43.2050735,0
57.9921875,35.42432429,9.774398141,30.82274247,64.77966529,1.928576186,0
110.1015625,48.708771,0.343425168,1.065217391,12.33428323,230.3871918,0
121.4765625,46.34246919,0.18534396,12.0819398,38.73779849,9.644188388,0
82.7578125,37.50369692,2.160988045,2.165551839,17.64380051,103.0009564,0
114.40625,45.64527589,0.114669323,2.091973244,13.2924364,136.5427469,0
112.4296875,35.53248593,1.689669757,2.470735786,18.13536005,109.7220446,1
16.5546875,47.36358843,15.06497082,112.583612,58.80159542,-0.285589629,1
120.4765625,49.26474475,-0.056021639,3.41722408,19.49725144,67.80819753,0
17.03125,28.36754789,53.1934326,132.9749164,81.56521309,-1.153211203,1
134.3984375,59.97178241,-0.646057788,168.7366221,80.0180061,-0.007846472,0
109.21875,46.88465526,0.417320413,1.222408027,11.64708324,240.2034019,0
130.765625,46.37996678,0.403622871,3.609531773,20.79435565,61.52342886,0
137.21875,45.39065458,0.134409084,3.204013378,17.17785726,74.0031036,0
126.8515625,53.12501321,-0.464809459,3.403846154,20.96752431,59.82204584,0
129.6171875,43.90510383,-0.002689519,5.132943144,28.53525458,38.31655117,0
60.1484375,49.56342052,4.475835277,7.959866221,36.35170628,26.6515781,1
124.1328125,60.76586355,-1.18570551,2.12458194,,170.9375314,0
104.75,44.37482394,0.289506104,0.968227425,11.03910625,341.2250598,0
128.5234375,51.30179773,-0.288825261,3.565217391,,60.30353631,0
122.9453125,43.36785038,0.713727572,3.399665552,24.310852,59.01409271,0
81.4921875,51.49150356,0.812341004,2.401337793,15.91231612,113.5054868,0
102.2265625,44.21860024,0.553278062,1.456521739,,270.9024696,0
117.1484375,45.19680745,-0.000657034,3.638795987,20.31902662,48.29588741,0
110.5703125,41.14222352,0.863544494,3.055183946,17.27933882,68.7982041,0
146.9921875,50.88751322,-0.196808404,115.0894649,75.93002757,-1.22440009,0
117.3515625,54.76848858,-0.437704335,4.483277592,25.24354061,56.9403984,0
144.3671875,47.78743152,-0.064177109,83.68729097,85.06135424,-1.914268937,0
143.2109375,41.86653876,0.452241526,1.986622074,16.74313582,133.1920851,0
80.953125,38.9504612,1.980699648,0.647993311,10.41845245,451.5722655,0
34.8984375,30.92426228,24.95582131,103.4423077,76.23984673,-0.78513902,1
150.296875,57.74964277,-0.568722134,11.09949833,43.81296863,18.97526667,0
133.890625,41.16472898,1.179817903,3.612876254,25.63683468,57.66552885,0
106.7421875,42.61991284,0.491630578,2.612876254,14.30794157,104.5097669,0
100.890625,36.56548799,1.463629724,1.585284281,12.01289375,198.3949571,0
98.4375,46.76816993,0.155035971,2.56270903,14.92389548,96.82798572,0
137.9453125,58.24132293,-0.676629129,4.801839465,26.18939949,42.81991474,0
65.28125,37.85889458,8.421129231,64.80936455,,-0.821381219,1
135.234375,55.18880723,-0.459679198,1.412207358,11.66949335,221.3496774,0
115.2265625,47.1648066,0.188177509,2.290133779,14.29404311,126.7177466,0
136.875,42.29638726,0.301780579,0.904682274,9.813866963,396.5352086,0
98.3203125,41.64075032,0.77419789,2.256688963,14.93889999,111.4272709,0
108.453125,48.03235553,0.236921215,2.064381271,18.55120462,121.8257047,0
107.328125,50.88975667,-0.202179714,37.88461538,71.95790341,,0
126.578125,41.28173199,0.480638225,1.566053512,11.09414643,246.447066,0
