 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve,target_class
112.5390625,47.18711131,0.129595466,2.31187291,18.8612845,8.90862045,0
114.828125,49.34573648,0.135934885,5.418060201,29.23693674,5.904226293,0
126.1015625,50.90245571,-0.126128261,8.883779264,41.55856613,4.530755412,0
126.2421875,49.2720043,0.088329184,1.461538462,11.59551114,12.6384925,0
117.2421875,52.80221736,0.217252967,1.358695652,12.47851396,13.0676726,0
134.8046875,47.98210255,-0.218267353,5.170568562,27.95880875,6.142707674,0
118.9375,49.80755935,0.394053112,0.758361204,9.734999025,18.47212344,0
130.21875,45.73957147,-0.00273831,5.718227425,25.78250364,5.823780289,0
103.03125,35.7580711,0.403119745,2.10367893,18.00824653,9.658143197,0
96.3125,41.47848652,0.566614165,2.574414716,15.40724695,9.061327574,0
110.2890625,48.79103279,0.207246515,1.130434783,12.89265081,14.04214862,0
118.140625,58.5621644,0.148266465,2.054347826,14.64957073,10.69513835,0
69.2109375,35.25723604,1.093096134,2.345317726,20.20025961,9.389613296,1
120.03125,55.15148705,-0.121200047,3.170568562,18.3006571,7.026262799,0
94.5,49.49542277,,2.265886288,13.18480199,9.61352178,0
144.75,42.04276097,-0.080527561,2.069397993,,11.05503987,0
119.984375,45.06384089,0.182795197,2.359531773,14.67118423,9.341504038,0
126.5546875,45.01333285,0.380317761,4.983277592,28.88093517,5.938614333,1
126.5546875,53.52055805,0.11648633,16.89632107,51.41645124,2.934545546,0
130.2265625,36.63805545,-0.108416941,17.47826087,46.02987647,2.674940606,0
128.2890625,55.26514956,0.069834842,1.846989967,13.24117044,11.14255826,0
139.140625,43.63838161,-0.247884078,4.258361204,21.3254987,6.312534394,0
128.984375,52.18102271,0.173898954,1.199832776,14.82453787,13.27809821,1
95.0078125,37.6525016,0.315869601,2.950668896,20.50018536,7.809740763,0
95.2890625,47.04006808,0.411826466,4.890468227,23.73887085,6.239235941,0
105.3125,41.73423168,0.842887995,56.20317726,75.99873276,0.858483317,1
79.0703125,43.38385781,1.584939782,34.2173913,64.41764776,1.718283135,1
131.7734375,46.85803274,-0.077511417,4.265050167,24.59982358,6.467703319,0
98.5625,40.05323606,,3.413879599,21.92511826,7.736375912,0
131.9609375,44.18027741,0.192329365,2.555183946,17.63987004,8.590099462,0
110.7890625,46.24217034,0.154800624,1.158862876,10.66178968,14.97007423,0
136.0625,42.71668109,,3.578595318,23.38959714,7.560096807,0
118.8046875,46.7792453,0.282037699,2.276755853,14.45704611,9.595852078,0
128.8125,45.60457591,-0.021829744,4.872909699,,6.23498471,0
112.5859375,37.17537141,0.084456105,14.41220736,53.97941654,3.501441472,0
132.6640625,56.39374374,-0.153433889,3.18729097,16.53126274,7.62037474,0
124.828125,44.10748756,,1.475752508,14.31806332,11.32404069,0
103.0078125,48.70614952,0.238332347,0.960702341,10.06239535,16.61156827,0
117.2890625,43.42039274,0.078452945,1.909698997,15.9215848,9.654999002,0
147.7109375,55.93301691,-0.419232164,2.158862876,20.61422651,9.987386854,0
115.4609375,58.18490224,0.331789895,1.5,13.98837908,12.34754736,0
116.234375,50.75346115,0.342410251,1.641304348,11.30998019,12.88081641,0
148.1171875,46.38217955,,2.637123746,16.33538826,8.436628605,0
101.6328125,42.31187612,0.667673695,0.775919732,10.15580738,17.30353586,0
93.2734375,34.48770497,0.733140039,2.045150502,15.17086524,9.588639417,0
133.2734375,48.00857912,0.022502268,2.740802676,15.08292709,8.525313322,0
139.890625,38.53675891,-0.065194501,1.448996656,13.93270643,12.56388266,0
122.4296875,52.13948893,0.295059112,15.73996656,45.046614,2.913488041,0
139.78125,66.88947711,-0.280868669,2.683946488,21.10137444,8.806097052,0
124.8671875,49.24529976,0.04565894,2.652173913,20.42854633,9.324247322,0
134.203125,49.21181251,,2.596153846,15.98964815,8.795951878,0
121.7265625,45.79859353,0.395521947,1.376254181,12.78948034,11.96387152,0
96.8984375,47.00479361,0.495675632,1.039297659,13.65084047,14.87193307,0
109.6796875,46.94060968,0.300662823,4.339464883,24.2772823,6.403328919,0
97.4140625,43.65749638,0.456108308,1.989966555,17.79918358,10.14478276,0
128.890625,52.09595029,0.090649498,1.372073579,10.58337764,14.40569903,0
107.625,37.77668759,0.436000412,2.173913043,14.6358195,9.407370847,0
96.21875,42.14594018,,1.464046823,13.15534449,12.34942974,0
76.5703125,39.10596254,0.807330789,1.868729097,18.19906624,10.55616694,0
145.8359375,50.62419403,-0.181519541,0.501672241,,28.13728243,0
106.890625,60.36881883,,1.144648829,13.87660551,14.95015275,0
140.4296875,47.06406598,-0.048904984,0.543478261,10.08130572,22.57353773,0
101.2890625,39.74727828,0.668382061,2.071070234,16.33647454,9.321298743,0
138.8046875,47.95620701,0.052261198,4.719063545,26.45643237,6.387733991,0
121.8671875,50.26156134,0.101663708,8.392976589,35.66212334,4.36482761,0
86.5625,33.18290929,0.803473542,2.364548495,16.36894484,8.557061818,0
60.296875,46.44508844,2.07886629,99.69816054,79.81386182,0.078518481,1
120.7265625,36.47317397,0.110689295,3.061036789,17.80342646,8.168925188,0
109.4453125,45.58436694,0.258934957,1.595317726,11.59828344,12.502274,0
105.8515625,30.57549311,0.595646138,3.260033445,20.94119274,7.402200439,0
119.8046875,44.39208449,0.20889498,3.011705686,24.44781207,8.05999557,0
123.7109375,49.39717103,0.028392948,4.110367893,24.02032708,7.044723014,0
121.1015625,51.76944681,-0.032284824,1.35451505,10.4356479,14.92496544,0
123.828125,49.61289358,0.225556765,1.367056856,14.85064614,13.47996527,0
108.9140625,51.42379485,0.108284036,3.14548495,16.51771841,7.933097984,0
128.6328125,43.82027768,0.173075914,1.994983278,15.98672029,9.534335567,0
61.671875,36.37545304,2.265220701,5.593645485,29.62396029,6.072215931,1
128.2578125,41.2530768,-0.225800599,23.81688963,62.88881,2.384960386,0
142.2890625,49.05611461,-0.111128087,15.65133779,49.30315077,3.073278401,0
151.609375,50.19528028,-0.352966276,5.915551839,,5.836690022,0
141.1953125,41.90652891,0.042272873,2.548494983,16.65055432,8.97622333,0
110.0234375,41.40830699,0.340431133,0.718227425,9.763681022,21.50492262,0
133.0703125,56.08993665,-0.31269993,19.85033445,54.98739754,2.633799311,0
100.9765625,43.2256913,0.302312855,6.659698997,32.01672454,5.384701738,0
130.3046875,53.43622931,-0.191159541,2.726588629,19.95319763,8.065141303,0
115.0859375,50.8593384,0.129922059,1.845317726,17.26476838,10.45845959,0
79.9375,35.63327755,1.076262683,1.014214047,,14.60607424,0
127.8046875,53.55838791,0.119318565,1.923076923,12.25580618,10.79403768,0
114.5859375,59.537085,0.346220816,3.777591973,26.55616311,7.74997845,1
130.9375,52.4000164,,4.762541806,25.79706891,6.508806491,0
108.90625,48.72650676,-0.005444107,103.0936455,93.2691448,-0.169285978,0
114.5546875,50.90490653,0.269434624,2.672240803,17.73795504,8.356151236,0
127.921875,55.65246645,-0.157853185,1.986622074,16.58372358,10.60320028,0
144.0859375,49.2923402,-0.065190361,2.679765886,16.47396726,7.831107155,0
114.1640625,50.97407082,0.00336734,1.214882943,12.03297362,13.37219915,0
115.890625,50.11459281,0.323824914,1.903846154,12.74216732,11.41807824,0
87.53125,38.65066653,0.450477233,3.081103679,,7.861436973,0
130.78125,47.61613065,0.001044529,1.898829431,12.27727182,11.42853253,0
118.0390625,36.17630491,0.373326109,2.178093645,,9.983023816,0
125.3671875,49.26583995,-0.032366243,2.556856187,14.59168722,8.869674605,0
131.40625,52.96924779,0.067051822,175.5785953,88.16542302,-1.186196012,0
109.203125,51.11298138,0.220206067,2.070234114,14.8237725,10.25307236,0
106.5,46.85716327,0.194971812,31.57608696,,1.69389221,0
9.7421875,30.26219953,7.088609518,84.11705686,59.36708836,0.901047513,1
102.875,43.57590361,0.680613625,4.350334448,25.98453055,6.535209822,0
95.8828125,48.97346557,0.545903436,1.739130435,12.56782963,11.53867869,0
130.1015625,49.1820343,0.101108121,2.397993311,14.62675411,8.738222472,0
135.078125,43.11713866,0.067585331,2.080267559,13.33960502,9.979061296,0
114.9609375,46.56286113,0.419055129,1.793478261,,11.19442979,0
133.4765625,48.63222389,-0.232863347,3.754180602,24.89724248,7.211629975,0
122.7265625,48.97348052,-0.018332218,10.40217391,39.75924152,4.020460464,0
84.3359375,42.10260483,0.859224743,11.53344482,43.87085469,3.969981663,1
97.8125,38.59540735,0.441153552,3.320234114,21.14427962,7.860980927,0
107.546875,45.32001823,,1.622073579,11.82569821,12.00796612,0
118.171875,43.39698819,,2.565217391,16.54157408,8.510258639,0
115.078125,55.9505375,0.228534597,2.299331104,20.36044019,9.781064313,0
105.9609375,48.5496528,,63.16722408,85.3273382,0.63255938,0
109.6171875,37.00593725,0.375889995,1.548494983,,12.10582453,0
114.203125,49.44589205,0.008293758,2.486622074,15.34025422,9.228698148,0
119.546875,41.53741901,0.132766391,4.216555184,25.95131331,6.499651157,0
124.2109375,50.14972151,0.112007491,2.248327759,13.78669463,9.902157411,0
95.9296875,49.88693209,0.273500764,27.05769231,69.24734531,2.181897698,0
66.4921875,33.84292672,2.542730429,7.834448161,33.66162057,5.091572704,1
108.125,46.4058186,0.428837305,2.015886288,,9.779744598,0
85.796875,39.86625284,0.580524256,1.621237458,13.5821365,11.40062521,0
121.765625,55.67897443,,12.14882943,40.80393519,3.444348735,0
136.4453125,54.86628755,-0.158676799,1.852842809,17.81416755,11.05802875,0
150.25,53.49328229,-0.221792439,2.37541806,19.15764641,10.26621986,0
95.3671875,45.34225249,0.742338219,25.07441472,,1.516937446,0
143.7109375,47.21959212,-0.193884989,1.191471572,9.935542807,16.58796639,0
122.8125,39.16327002,0.176057944,3.902173913,21.11149638,6.539225555,0
122.3359375,48.86449333,0.079585207,119.0326087,85.95590633,-0.613265858,0
121.171875,48.48197303,-0.133282211,3.699832776,,7.361531784,0
36.46875,39.27287102,3.736450963,111.1229097,75.71649359,0.253562477,1
111.2109375,44.75639835,0.049738567,0.887123746,10.24490091,17.11080776,0
133.0859375,52.80817694,-0.211585074,4.035117057,26.52150205,6.923330065,0
137.75,51.56731038,-0.204780636,111.027592,77.89253858,-0.363839554,0
107.328125,50.27908197,,4.903846154,,5.88730409,0
83.8125,40.59012927,0.611750363,1.977424749,14.7608129,10.64449998,0
121.84375,40.74874183,0.137360862,2.086956522,13.37693056,10.53203558,0
102.59375,52.77849312,0.576817027,147.1856187,75.29602001,-1.169558054,0
77.984375,37.42262525,1.06864223,1.435618729,11.38685957,13.58720152,0
60.5234375,41.38122401,2.812397389,2.420568562,17.79649579,10.40307237,1
104.015625,47.70727545,0.10396473,102.9214047,66.95716079,-0.820295935,0
105.2265625,55.72255698,,2.586956522,18.5402472,8.684067361,0
126.984375,48.37709691,0.224752702,9.857023411,37.1910973,3.928965722,0
138.34375,56.09066844,0.012559794,3.259197324,18.64506644,7.493529924,0
98.46875,40.45134761,0.314458878,1.683946488,13.0465635,13.48958878,0
138.3359375,49.13045093,-0.205287269,49.89464883,80.5624912,1.233599293,0
130.6328125,53.13380384,0.163213636,142.1856187,82.33954089,-0.687955054,0
115.78125,48.15241711,0.170699268,2.268394649,16.47626359,10.0074052,0
114.484375,44.2146724,0.027884059,1.198160535,15.08958854,13.17346116,0
98.453125,43.74836772,0.55690376,1.401337793,14.52789261,12.95968536,0
111.0703125,33.78335935,,1.699832776,12.82051424,11.60922563,0
132.09375,46.29498446,0.131189038,2.244147157,15.66109267,9.869735634,0
133.1328125,53.14225765,-0.126608942,3.99916388,24.23934789,7.091702161,0
117.21875,56.38773935,,2.763377926,16.02866464,8.615121645,0
144.125,46.05957419,-0.163717546,1.669732441,14.22233112,12.1857376,0
93.46875,45.98215304,0.333211478,1.275919732,12.06403436,13.80627565,0
106.234375,47.12657232,0.470331606,2.510869565,,9.166237346,0
127.8203125,45.15553565,,2.607023411,,9.23503588,0
114.171875,54.38895071,0.309801971,8.150501672,,4.732799763,0
103.5078125,40.05367416,0.493948894,1.553511706,16.92160696,12.12823845,0
120.171875,54.39182346,0.127127492,1.348662207,12.44074947,13.40136586,0
117.578125,46.88260095,0.091929594,2.274247492,15.23862718,9.171303117,0
105.96875,42.85275252,,2.12541806,19.69600038,10.16590541,0
87.671875,41.07084378,0.610609396,2.205685619,14.05886458,9.79333591,0
130.1484375,47.80936915,,2.337792642,16.65731562,9.214074319,0
120.8515625,46.70320015,0.083300036,1.809364548,11.76755556,11.93053323,0
83.0390625,46.09270589,1.674993962,59.11956522,53.954117,0.687108544,0
144.5546875,49.36832369,-0.134165552,4.556856187,27.77542425,7.012918477,0
41.7734375,30.20948083,3.552223686,12.72993311,43.22134994,3.791869842,1
123.9453125,51.22168556,-0.11719709,1.698996656,16.74657752,11.85287836,0
139.640625,39.27442202,0.009475872,1.717391304,11.89939988,11.7794491,0
93.734375,45.36165168,0.486719086,0.764214047,10.51951159,17.94934163,0
128.2265625,57.49323531,-0.03705773,4.14548495,25.44823399,6.829105911,0
135.46875,47.36690853,0.111350814,4.212374582,25.05846103,6.854449719,0
125.9453125,49.80309801,-0.007521742,1.75083612,,10.98693284,0
139.8359375,48.39643862,-0.056210836,2.580267559,15.19052067,8.497038558,0
101.65625,40.0613665,,3.377926421,,7.086230907,0
111.3515625,46.17689998,0.501205706,5.799331104,,5.589647701,0
142.0859375,45.92895794,-0.152055718,1.734949833,12.86198214,11.00744751,0
55.5078125,51.49848239,2.076188454,7.33277592,33.81505319,5.034427743,1
71.5546875,39.39797119,1.800950705,4.835284281,26.45508832,6.291798542,1
138.3671875,53.7255571,-0.111208573,1.902173913,,11.5054638,0
115.5,50.36864104,-0.002510193,3.847826087,20.53910343,7.034078746,0
118.765625,42.16957663,0.479493506,5.732441472,30.62971186,5.817459209,0
133.5234375,53.43014786,0.186128622,1.557692308,15.66094078,10.93019437,0
110.796875,54.8917058,0.245544714,1.448160535,14.67769068,11.38841631,0
116.5390625,52.28167436,0.075312344,2.12541806,16.87023034,9.049086227,0
33.328125,42.07862978,3.47873635,101.5953177,83.3898455,0.018839747,1
103.0078125,45.64956464,0.616439043,2.054347826,13.7114759,10.59309039,0
122.6328125,51.64782654,0.127531553,3.507525084,22.67597354,7.107382559,0
114.921875,54.09260136,0.170221538,2.058528428,14.66760767,10.32826388,0
147.25,50.59659697,-0.199381208,1.621237458,15.23888434,11.33829665,0
111.140625,43.86676105,,1.464046823,14.32031598,11.94749845,0
151.9296875,61.1831502,-0.531144854,75.02591973,73.55274878,0.909743039,0
108.890625,46.6391122,,3.131270903,22.00992461,9.004847741,0
139.6640625,47.97301933,-0.058233719,2.280936455,16.45083903,10.12838211,0
29.953125,38.36540177,4.153427856,141.4607023,62.66037052,0.195576924,1
115.8203125,32.94797831,,3.461538462,20.11886149,6.971780245,0
128.2265625,51.86132573,0.125156121,1.727424749,13.04722386,11.28352502,0
125.0703125,50.57376784,-0.007886563,2.011705686,18.28481094,9.939889978,0
148.25,44.53018639,-0.213224648,2.961538462,15.87193287,8.086048067,0
126.46875,46.92729375,0.097734271,2.674749164,21.91932757,8.65581311,0
132.6953125,47.29504443,-0.155516985,1.747491639,16.82031098,10.6800712,0
139.1953125,51.79361969,-0.240821501,16.0367893,49.93211429,3.028961098,0
112.5859375,39.1472635,0.018943574,1.377926421,10.69613663,14.63770831,0
91.25,49.0600716,0.435025283,2.524247492,16.52873997,10.48884236,0
113.4921875,46.84765804,,2.428929766,16.05500992,8.521578097,0
174.25,50.65354134,-1.054651289,25.93645485,57.4399437,1.899281403,0
128.4609375,44.40789315,,4.656354515,22.13461706,6.323110219,0
118.09375,48.40768235,0.082877488,132.4147157,,-0.450082466,0
133.859375,47.59935897,0.067098112,1.898829431,18.13136656,11.42515568,0
18.8515625,35.76968205,5.190658282,63.01755853,65.77357171,0.901415515,1
82.7890625,40.26506945,0.740589489,1.757525084,13.74510196,10.70871092,0
115.359375,55.05419693,0.413834909,3.269230769,,8.193471037,0
90.125,42.90341624,0.694570721,2.301003344,,9.050778963,0
144.7890625,49.46521068,-0.232265509,3.0409699,17.59553456,8.456754677,0
101.6171875,42.92801407,0.384308288,2.211538462,,10.31028488,0
127.78125,47.14802778,-0.159473969,3.781772575,22.06220384,6.967673247,0
125.609375,49.4465043,0.206675254,11.27675585,40.57598877,3.754499805,0
133.359375,43.40700087,-0.112716426,2.530936455,15.3560272,8.365814199,0
143.828125,56.15507398,-0.149178996,3.712374582,22.18523901,7.038536037,0
133.2734375,60.16354207,-0.085433288,2.988294314,17.9222549,8.159658681,0
126.0625,43.7503125,0.110424485,2.9590301,15.19953662,7.788738236,0
35.15625,30.2377138,4.20347482,34.10117057,62.57739528,1.890020282,1
128.921875,47.81762381,-0.067437794,1.530936455,15.4963545,12.25634806,0
86.234375,36.90835025,1.665532921,15.17976589,50.88779011,3.24987218,1
93.5546875,42.5717792,0.410201346,1.139632107,12.1412975,13.20894856,0
26.578125,31.82363739,5.502086902,134.798495,72.05558309,0.029296678,1
127.359375,51.18497924,-0.152842304,3.834448161,20.81012305,6.963515437,0
115.40625,42.79464728,0.168750171,2.527591973,,8.58878788,0
127.109375,53.59749213,-0.117206658,2.460702341,15.89164694,9.029928515,0
124.28125,50.56832283,0.2376565,0.734113712,9.488659318,19.18767419,0
121.359375,59.79767115,-0.023317526,1.632943144,15.85489865,11.65818833,0
111.296875,38.7188099,0.414414407,7.290133779,,4.597202838,0
118.8671875,49.53429543,0.173596984,2.235785953,16.06517631,9.262959755,0
45.5390625,29.88020413,4.635340378,32.57274247,54.81280603,1.913243272,1
129.3125,53.04917383,0.073884697,2.85451505,17.72001414,8.418442047,0
134.1328125,46.1719563,0.008403385,4.820234114,23.90775105,5.835401911,0
88.25,39.04604653,0.57152249,4.650501672,25.66972355,6.217865152,0
125.0859375,40.09871167,0.011956914,0.908026756,13.41285146,15.6693427,0
148.1640625,50.12403013,,4.107859532,,7.891064714,0
119.1875,49.48638544,-0.057378358,6.975752508,31.30468856,5.042874588,0
87.0625,43.6156419,0.59585834,2.377926421,15.84564913,8.700077019,0
123.53125,53.34878418,0.072077648,0.781772575,10.57083301,17.11829958,0
113.484375,40.12012906,,1.558528428,12.24782088,12.01517167,0
58.21875,34.92982642,2.98209687,19.09949833,,2.906033522,1
84.3046875,38.20556213,,55.93143813,75.82274688,0.920049101,0
110.1796875,50.86462327,0.480249282,2.556856187,18.18065084,8.79132457,0
120.7265625,46.0286451,,2.240802676,14.5617888,9.689833966,0
129.7734375,51.47742449,0.024982345,11.57943144,42.4971714,3.616210073,0
107.3046875,47.93803921,,3.498327759,20.24323242,7.554219075,0
113.96875,45.78651847,0.093161028,20.33361204,52.24981708,2.500739302,0
126.625,42.08158,0.040561635,1.897157191,17.89752394,10.70673956,0
121.203125,41.78167948,0.260014525,4.461538462,23.39981189,6.669519923,0
101.0625,49.96150862,0.214865992,4.93729097,28.96576079,6.244868322,0
106.9140625,44.02609797,,3.627090301,22.27063851,7.163068116,0
107.5546875,45.70708517,0.380769847,1.981605351,14.32919218,10.44046155,0
84.25,37.88469348,,1.829431438,,10.89514792,0
89.921875,45.41503216,0.445193064,6.964882943,30.95304089,5.249469897,0
130.765625,53.61108275,0.105363965,7.868729097,,4.815934425,0
144.6875,43.27830541,-0.218640807,0.799331104,,16.79253067,0
112.140625,49.30402088,0.07840614,0.697324415,11.48935931,18.8338939,0
53.53125,33.00093216,3.245248456,37.44147157,68.44858006,1.693955447,1
122.578125,51.53785159,0.275434304,1.391304348,13.48543341,12.46745639,0
115.09375,43.19314136,0.578850344,1.454849498,13.26872255,12.88219271,0
100.7578125,44.0113171,0.51285338,1.487458194,15.65116203,11.7665722,0
128.8828125,52.4126686,-0.066159643,7.602006689,32.15156096,4.328367812,0
90.984375,37.12668018,1.17655433,34.18478261,64.52126353,1.60113238,0
136.1640625,47.35302547,-0.265456587,3.214882943,16.25393637,7.079046613,0
133.28125,50.09942264,-0.157434458,5.102842809,27.19310898,6.378455702,0
57.9921875,35.42432429,2.555852081,30.82274247,64.77966529,1.865224083,0
110.1015625,48.708771,0.518679192,1.065217391,12.33428323,14.14140861,0
121.4765625,46.34246919,0.148239193,12.0819398,38.73779849,3.231074949,0
82.7578125,37.50369692,,2.165551839,17.64380051,9.645783571,0
114.40625,45.64527589,0.043662775,2.091973244,13.2924364,9.921934242,0
112.4296875,35.53248593,0.290976003,2.470735786,18.13536005,9.841046265,1
16.5546875,47.36358843,4.062784725,112.583612,58.80159542,0.404615957,1
120.4765625,49.26474475,0.219906498,3.41722408,19.49725144,7.619867947,0
17.03125,28.36754789,7.172622696,132.9749164,81.56521309,-0.241343492,1
134.3984375,59.97178241,-0.311284144,168.7366221,80.0180061,-1.140585509,0
109.21875,46.88465526,0.311484889,1.222408027,11.64708324,13.87534583,0
130.765625,46.37996678,0.045897633,3.609531773,20.79435565,7.341039546,0
137.21875,45.39065458,0.034985286,3.204013378,17.17785726,7.494587933,0
126.8515625,53.12501321,0.056594489,3.403846154,20.96752431,7.288475426,0
129.6171875,43.90510383,0.066045936,5.132943144,28.53525458,6.116694586,0
60.1484375,49.56342052,2.042535958,7.959866221,36.35170628,5.155641077,1
124.1328125,60.76586355,,2.12458194,,12.06099611,0
104.75,44.37482394,0.300411845,0.968227425,11.03910625,17.03635414,0
128.5234375,51.30179773,0.047370213,3.565217391,,7.369965136,0
122.9453125,43.36785038,0.19834717,3.399665552,24.310852,7.603947965,0
81.4921875,51.49150356,1.036647925,2.401337793,15.91231612,9.652696181,0
102.2265625,44.21860024,0.561885505,1.456521739,,13.90309365,0
117.1484375,45.19680745,0.031669572,3.638795987,20.31902662,6.521712429,0
110.5703125,41.14222352,0.307207974,3.055183946,17.27933882,7.517765274,0
146.9921875,50.88751322,-0.138513377,115.0894649,75.93002757,-0.793967903,0
117.3515625,54.76848858,-0.039511256,4.483277592,25.24354061,7.236100363,0
144.3671875,47.78743152,0.027131368,83.68729097,85.06135424,0.068178141,0
143.2109375,41.86653876,0.127639263,1.986622074,16.74313582,10.81344515,0
80.953125,38.9504612,0.615277704,0.647993311,10.41845245,20.37696952,0
34.8984375,30.92426228,4.422257175,103.4423077,76.23984673,0.363738982,1
150.296875,57.74964277,-0.313894204,11.09949833,43.81296863,4.429270911,0
133.890625,41.16472898,-0.152566571,3.612876254,25.63683468,7.525768064,0
106.7421875,42.61991284,0.247116964,2.612876254,14.30794157,8.584839674,0
100.890625,36.56548799,0.247345878,1.585284281,12.01289375,12.22915688,0
98.4375,46.76816993,0.314367637,2.56270903,14.92389548,8.56938439,0
137.9453125,58.24132293,-0.004644844,4.801839465,26.18939949,6.37065865,0
65.28125,37.85889458,2.192432526,64.80936455,,0.750128066,1
135.234375,55.18880723,-0.04827517,1.412207358,11.66949335,13.02480547,0
115.2265625,47.1648066,0.19240603,2.290133779,14.29404311,9.934507369,0
136.875,42.29638726,0.044292161,0.904682274,9.813866963,17.57239424,0
98.3203125,41.64075032,0.548988838,2.256688963,14.93889999,9.398463953,0
108.453125,48.03235553,0.322747422,2.064381271,18.55120462,10.58132328,0
107.328125,50.88975667,0.21180438,37.88461538,71.95790341,1.57281182,0
126.578125,41.28173199,0.05621777,1.566053512,11.09414643,13.16669667,0
104.4140625,40.07815165,0.702077603,1.556856187,12.01299233,12.01352151,0
108.875,43.91166559,,1.834448161,,10.85831125,0
119.6953125,50.25272981,0.067823151,2.826086957,20.0766888,8.567085308,0
133.8984375,52.59780174,,2.813545151,20.74320255,8.083539878,0
