UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
41,2,298.8,309.1,1362,45.4,113,0,0,0,0,0,0
42,2,298.8,309.1,1368,50.8,115,0,0,0,0,0,0
43,1,298.8,309.1,1368,49.1,117,0,0,0,0,0,0
44,3,298.8,309.2,1372,48.5,120,0,0,0,0,0,0
45,1,298.8,309.1,1472,47.5,125,0,0,0,0,0,0
46,2,298.8,309.1,1489,49.1,128,0,0,0,0,0,0
47,1,298.7,309,1843,25.8,130,0,0,0,0,0,0
48,2,298.8,309.1,1418,46.3,133,0,0,0,0,0,0
49,3,298.8,309.2,1425,53.9,135,0,0,0,0,0,0
50,1,298.9,309.2,1412,44.1,140,0,0,0,0,0,0
51,2,298.9,309.1,2861,4.6,143,1,0,0,1,0,0
52,2,298.9,309.1,1383,54.9,145,0,0,0,0,0,0
53,3,298.8,309,1497,43.8,147,0,0,0,0,0,0
54,2,298.7,309,1565,35.1,152,0,0,0,0,0,0
55,2,298.7,309,1691,30.1,154,0,0,0,0,0,0
56,2,298.8,309.1,1512,40.7,156,0,0,0,0,0,0
57,2,298.8,309.1,1477,42.4,158,0,0,0,0,0,0
58,2,298.8,309.1,1513,40.3,160,0,0,0,0,0,0
59,1,298.8,309,1661,29.5,162,0,0,0,0,0,0
60,2,298.8,309.1,1378,54.4,165,0,0,0,0,0,0
61,2,298.8,309.1,1393,52.6,167,0,0,0,0,0,0
62,1,298.8,309,1592,38.2,169,0,0,0,0,0,0
63,2,298.8,309,1829,22.9,172,0,0,0,0,0,0
64,1,298.9,309,1812,25.9,174,0,0,0,0,0,0
65,2,299,309.1,1523,38.6,177,0,0,0,0,0,0
66,2,299,309.1,1394,45.1,179,0,0,0,0,0,0
67,1,298.9,308.9,1679,28.7,181,0,0,0,0,0,0
68,3,298.8,308.9,1466,44.1,184,0,0,0,0,0,0
69,2,298.8,308.9,1527,32.4,189,0,0,0,0,0,0
70,2,298.9,309,1410,65.7,191,1,0,0,1,1,0
71,1,298.9,309,1924,22.6,193,0,0,0,0,0,0
72,2,298.9,309.1,1452,45.5,196,0,0,0,0,0,0
73,2,298.9,309.1,1369,44.4,198,0,0,0,0,0,0
74,2,299,309.1,1592,35,200,0,0,0,0,0,0
75,2,298.9,309,1601,32.3,202,0,0,0,0,0,0
76,2,298.8,308.9,1379,46.7,204,0,0,0,0,0,0
77,2,298.8,308.9,1461,47.9,206,0,0,0,0,0,0
78,2,298.8,308.9,1455,41.3,208,1,1,0,0,0,0
79,2,298.8,308.9,1398,51.5,0,0,0,0,0,0,0
80,2,298.8,308.9,1402,37.9,2,0,0,0,0,0,0
81,3,298.8,308.8,1445,49.9,4,0,0,0,0,0,0
82,2,298.9,308.9,1450,47.5,9,0,0,0,0,0,0
83,2,298.9,308.9,1453,40.8,11,0,0,0,0,0,0
84,2,299,309,1469,40.1,13,0,0,0,0,0,0
85,2,298.9,308.9,1422,47.6,15,0,0,0,0,0,0
86,1,299,309,1804,26.8,17,0,0,0,0,0,0
87,3,299,309,1436,43.9,20,0,0,0,0,0,0
88,2,299,309,1544,31.8,25,0,0,0,0,0,0
89,1,299,309,1419,45.2,27,0,0,0,0,0,0
90,1,298.9,308.9,1487,39.5,30,0,0,0,0,0,0
91,2,298.9,308.9,1753,25.8,33,0,0,0,0,0,0
92,2,298.9,308.9,1830,24.9,35,0,0,0,0,0,0
93,1,298.9,308.9,1727,27.1,37,0,0,0,0,0,0
94,2,299.1,309,1450,43,40,0,0,0,0,0,0
95,2,299,308.9,1622,31.9,42,0,0,0,0,0,0
96,1,299,309,1351,52.2,44,0,0,0,0,0,0
97,1,299,309,1575,35.3,47,0,0,0,0,0,0
98,1,298.9,308.9,1750,29.9,50,0,0,0,0,0,0
99,2,298.9,308.8,1529,32.7,53,0,0,0,0,0,0
100,2,298.8,308.8,1523,44.4,55,0,0,0,0,0,0
101,2,298.8,308.9,1852,25,57,0,0,0,0,0,0
102,2,298.8,308.8,1991,20.7,59,0,0,0,0,0,0
103,2,298.8,308.8,1555,40.6,61,0,0,0,0,0,0
104,1,298.8,308.8,1441,40.5,63,0,0,0,0,0,0
105,2,298.8,308.7,1450,43.4,66,0,0,0,0,0,0
106,2,298.8,308.7,1591,31.1,68,0,0,0,0,0,0
107,2,298.8,308.7,1445,48.5,70,0,0,0,0,0,0
108,1,298.8,308.8,1497,46.8,72,0,0,0,0,0,0
109,3,298.9,308.8,1621,32.7,75,0,0,0,0,0,0
110,2,298.9,308.7,1572,34.1,80,0,0,0,0,0,0
111,2,298.8,308.6,1872,22.5,82,0,0,0,0,0,0
112,3,298.7,308.6,1499,43.5,84,0,0,0,0,0,0
113,1,298.8,308.7,1498,39.5,89,0,0,0,0,0,0
114,1,298.8,308.6,1486,41.9,92,0,0,0,0,0,0
115,2,298.8,308.6,1680,29.4,95,0,0,0,0,0,0
116,2,298.8,308.6,1431,45.7,97,0,0,0,0,0,0
117,2,298.9,308.7,1564,34.1,99,0,0,0,0,0,0
118,2,298.8,308.6,1599,33,101,0,0,0,0,0,0
119,1,298.8,308.6,1707,28.1,103,0,0,0,0,0,0
120,2,298.7,308.5,1467,40.7,106,0,0,0,0,0,0
121,2,298.9,308.7,1433,44.7,108,0,0,0,0,0,0
122,2,298.9,308.7,1558,41.2,110,0,0,0,0,0,0
123,2,299,308.8,1310,50.7,112,0,0,0,0,0,0
124,2,298.9,308.7,1546,43.4,114,0,0,0,0,0,0
125,2,298.9,308.7,1727,29.4,116,0,0,0,0,0,0
126,2,298.9,308.6,1560,32.2,118,0,0,0,0,0,0
127,2,299,308.6,1329,60.5,120,0,0,0,0,0,0
128,2,298.9,308.6,1413,46.5,122,0,0,0,0,0,0
129,2,299,308.6,1587,38.6,124,0,0,0,0,0,0
130,2,298.9,308.5,1559,34.3,126,0,0,0,0,0,0
131,2,298.8,308.4,1473,41.1,128,0,0,0,0,0,0
132,2,298.8,308.4,1737,27.7,130,0,0,0,0,0,0
133,1,298.7,308.4,1441,43.2,132,0,0,0,0,0,0
134,1,298.7,308.4,1430,49.6,135,0,0,0,0,0,0
135,2,298.8,308.4,1369,53,138,0,0,0,0,0,0
136,1,298.8,308.5,1711,28.5,140,0,0,0,0,0,0
137,3,298.7,308.5,1420,45.7,143,0,0,0,0,0,0
138,2,298.7,308.6,1297,55.3,148,0,0,0,0,0,0
139,3,298.8,308.6,1449,49.4,150,0,0,0,0,0,0
140,2,298.8,308.6,1268,55.8,155,0,0,0,0,0,0
141,2,298.8,308.6,1511,36.1,157,0,0,0,0,0,0
142,2,298.7,308.5,1544,35.2,159,0,0,0,0,0,0
143,1,298.6,308.4,1778,28.2,161,0,0,0,0,0,0
144,3,298.6,308.4,1407,50.5,164,0,0,0,0,0,0
145,1,298.6,308.4,1391,42.4,169,0,0,0,0,0,0
146,2,298.5,308.4,1513,33.6,172,0,0,0,0,0,0
147,3,298.5,308.4,1612,36.1,174,0,0,0,0,0,0
148,2,298.4,308.4,1515,40.1,179,0,0,0,0,0,0
149,1,298.3,308.3,1379,48,181,0,0,0,0,0,0
150,2,298.4,308.3,1473,39.9,184,0,0,0,0,0,0
151,2,298.4,308.3,1422,42.7,186,0,0,0,0,0,0
152,1,298.4,308.2,1463,37.6,188,0,0,0,0,0,0
153,1,298.4,308.2,1584,41,191,0,0,0,0,0,0
154,2,298.4,308.2,1850,27,194,0,0,0,0,0,0
155,2,298.4,308.2,1528,36.2,196,0,0,0,0,0,0
156,3,298.4,308.2,1987,19.8,198,0,0,0,0,0,0
157,1,298.4,308.1,1495,46,203,0,0,0,0,0,0
158,3,298.4,308.2,1478,43.5,206,0,0,0,0,0,0
159,1,298.4,308.2,1499,40,211,0,0,0,0,0,0
160,2,298.4,308.2,1471,47,214,0,0,0,0,0,0
161,2,298.4,308.2,1282,60.7,216,1,0,0,0,1,0
162,2,298.3,308.1,1412,52.3,218,1,0,0,0,1,0
163,2,298.3,308.1,1586,35.5,0,0,0,0,0,0,0
164,1,298.4,308.2,1468,43.8,2,0,0,0,0,0,0
165,1,298.5,308.3,1440,43.6,5,0,0,0,0,0,0
166,2,298.5,308.4,1733,26,8,0,0,0,0,0,0
167,3,298.4,308.2,1612,32.6,10,0,0,0,0,0,0
168,3,298.4,308.3,1458,42.9,15,0,0,0,0,0,0
169,2,298.4,308.3,1433,62.3,20,1,0,0,1,0,0
170,2,298.4,308.3,1318,59.1,22,0,0,0,0,0,0
171,1,298.4,308.2,1610,35,24,0,0,0,0,0,0
172,2,298.2,308.1,1462,50.8,27,0,0,0,0,0,0
173,1,298.1,308,1924,20.8,29,0,0,0,0,0,0
174,1,298.2,308,1591,33.7,32,0,0,0,0,0,0
175,2,298.2,308.1,1306,58.3,35,0,0,0,0,0,0
176,2,298.2,308.1,1382,43.5,37,0,0,0,0,0,0
177,2,298.2,308.1,1618,34.7,39,0,0,0,0,0,0
178,2,298.2,308.2,1988,21.4,41,0,0,0,0,0,0
179,2,298.2,308.2,1436,50.2,43,0,0,0,0,0,0
180,2,298.2,308.3,1304,49.8,45,0,0,0,0,0,0
181,2,298.2,308.3,1475,49.9,47,0,0,0,0,0,0
182,3,298.2,308.3,1824,24.2,49,0,0,0,0,0,0
183,1,298.1,308.2,1342,48.1,54,0,0,0,0,0,0
184,2,298.1,308.2,1485,40.7,57,0,0,0,0,0,0
185,2,298.2,308.2,1667,30.6,59,0,0,0,0,0,0
186,2,298.2,308.2,1446,38.2,61,0,0,0,0,0,0
187,2,298.1,308.3,1301,56,63,0,0,0,0,0,0
188,2,298.2,308.4,1379,43.1,65,0,0,0,0,0,0
189,2,298.3,308.5,1606,33.6,67,0,0,0,0,0,0
190,1,298.3,308.4,1539,43.4,69,0,0,0,0,0,0
191,2,298.2,308.4,1477,49.9,72,0,0,0,0,0,0
192,2,298.2,308.4,1666,34.6,74,0,0,0,0,0,0
193,3,298.2,308.4,1398,51.8,76,0,0,0,0,0,0
194,3,298.2,308.4,1678,34.6,81,0,0,0,0,0,0
195,1,298.2,308.5,2678,10.7,86,1,0,0,1,0,0
196,2,298.3,308.5,1453,42.9,89,0,0,0,0,0,0
197,3,298.3,308.6,1432,49.5,91,0,0,0,0,0,0
198,1,298.4,308.6,1527,40.9,96,0,0,0,0,0,0
199,2,298.4,308.7,1588,35,99,0,0,0,0,0,0
200,2,298.4,308.6,1433,47.1,101,0,0,0,0,0,0
201,2,298.4,308.6,1609,35,103,0,0,0,0,0,0
202,2,298.3,308.5,1575,41.2,105,0,0,0,0,0,0
203,1,298.4,308.5,1636,35.7,107,0,0,0,0,0,0
204,2,298.4,308.5,1490,37.9,110,0,0,0,0,0,0
205,2,298.4,308.5,1741,32.8,112,0,0,0,0,0,0
206,1,298.5,308.6,1344,53,114,0,0,0,0,0,0
207,2,298.5,308.7,1609,35.3,117,0,0,0,0,0,0
208,1,298.4,308.7,1421,60.7,119,1,0,0,1,0,0
209,2,298.4,308.6,1591,36.7,122,0,0,0,0,0,0
210,2,298.4,308.6,1477,44,124,0,0,0,0,0,0
211,2,298.4,308.7,1523,36.1,126,0,0,0,0,0,0
212,2,298.5,308.7,1575,33.9,128,0,0,0,0,0,0
213,3,298.4,308.7,1344,52.9,130,0,0,0,0,0,0
214,2,298.4,308.7,1386,44.9,135,0,0,0,0,0,0
215,1,298.3,308.6,1589,37.1,137,0,0,0,0,0,0
216,2,298.3,308.6,1548,40.3,140,0,0,0,0,0,0
217,2,298.3,308.6,1499,38.3,142,0,0,0,0,0,0
218,2,298.3,308.5,1664,31.6,144,0,0,0,0,0,0
219,2,298.3,308.6,1447,38.1,146,0,0,0,0,0,0
220,1,298.3,308.5,1434,46.2,148,0,0,0,0,0,0
221,2,298.3,308.5,1416,52.7,151,0,0,0,0,0,0
222,3,298.4,308.5,1827,24.3,153,0,0,0,0,0,0
223,2,298.4,308.6,1304,45,158,0,0,0,0,0,0
224,2,298.4,308.6,1569,34.4,160,0,0,0,0,0,0
225,2,298.3,308.6,1584,29.3,162,0,0,0,0,0,0
226,2,298.3,308.5,1362,53.8,164,0,0,0,0,0,0
227,2,298.3,308.4,1329,49.2,166,0,0,0,0,0,0
228,2,298.3,308.5,1539,36.1,168,0,0,0,0,0,0
229,1,298.3,308.5,1629,37.1,170,0,0,0,0,0,0
230,2,298.3,308.5,1538,32.2,173,0,0,0,0,0,0
231,2,298.3,308.6,1570,34.8,175,0,0,0,0,0,0
232,2,298.3,308.4,1408,43.1,177,0,0,0,0,0,0
233,2,298.2,308.4,1424,47.6,179,0,0,0,0,0,0
234,2,298.2,308.4,1512,34.9,181,0,0,0,0,0,0
235,2,298.2,308.4,1478,42.9,183,0,0,0,0,0,0
236,1,298.1,308.3,1680,33.7,185,0,0,0,0,0,0
237,2,298.1,308.3,1495,38.7,188,0,0,0,0,0,0
238,1,298,308.1,1552,36.6,190,0,0,0,0,0,0
239,2,297.9,308.1,1393,50.3,193,0,0,0,0,0,0
240,2,298,308.2,1611,30.6,195,0,0,0,0,0,0
241,1,298,308.1,1339,51.6,197,0,0,0,0,0,0
242,2,298,308.1,1777,24.3,200,0,0,0,0,0,0
243,2,298,308.2,1348,58.8,202,1,0,0,0,1,0
244,2,298,308.2,1442,44.1,204,0,0,0,0,0,0
245,1,298,308.2,1395,49.1,206,0,0,0,0,0,0
246,1,297.9,308.1,1627,31.4,209,0,0,0,0,0,0
247,2,297.9,308.1,1585,33.5,212,0,0,0,0,0,0
248,2,298,308.2,1469,45.5,214,0,0,0,0,0,0
249,2,298,308.3,1362,56.8,216,1,0,0,0,1,0
250,2,298,308.3,1405,56.2,218,1,0,0,0,1,0
251,2,298,308.3,1662,32.7,0,0,0,0,0,0,0
252,1,298,308.2,1466,42.6,2,0,0,0,0,0,0
253,2,298,308.2,1620,35.8,5,0,0,0,0,0,0
254,2,298,308.2,1357,48.2,7,0,0,0,0,0,0
255,2,298,308.2,1514,37.9,9,0,0,0,0,0,0
256,2,298,308.2,1489,40.4,11,0,0,0,0,0,0
257,2,298.1,308.3,1331,63,13,0,0,0,0,0,0
258,2,298,308,1615,29.5,15,0,0,0,0,0,0
259,2,298.1,308.2,1482,37.9,17,0,0,0,0,0,0
260,1,298.1,308.2,1420,63.9,19,1,0,0,1,0,0
261,1,298.2,308.3,1522,49.1,22,0,0,0,0,0,0
262,2,298.1,308.2,1654,32.1,25,0,0,0,0,0,0
263,1,298.1,308.2,1736,26.8,27,0,0,0,0,0,0
264,1,298,308.1,1587,32.3,30,0,0,0,0,0,0
265,2,298.1,308.2,1390,47.5,33,0,0,0,0,0,0
266,2,298,308.1,1454,37.1,35,0,0,0,0,0,0
267,3,298,308.1,1440,43.7,37,0,0,0,0,0,0
268,2,297.9,308,1954,21.1,42,0,0,0,0,0,0
269,3,297.9,308,1800,24.8,44,0,0,0,0,0,0
270,2,298,308,1524,37,49,0,0,0,0,0,0
271,3,298,308,1520,39.6,51,0,0,0,0,0,0
272,1,298.1,308.1,1452,40.8,56,0,0,0,0,0,0
273,2,298.1,308.1,1484,40.4,59,0,0,0,0,0,0
274,2,298.1,308,1426,46,61,0,0,0,0,0,0
275,2,298.1,308,1652,28.5,63,0,0,0,0,0,0
276,2,298,308,1401,54.7,65,0,0,0,0,0,0
277,1,298,307.9,1750,26.6,67,0,0,0,0,0,0
278,3,298,308,1479,50.7,70,0,0,0,0,0,0
279,1,298,308,1620,29.4,75,0,0,0,0,0,0
280,2,298,308.1,1819,23.4,78,0,0,0,0,0,0
281,1,298.1,308.1,1456,43.7,80,0,0,0,0,0,0
282,2,298.1,308,1626,36.5,83,0,0,0,0,0,0
283,1,298.1,308.1,1390,49.8,85,0,0,0,0,0,0
284,2,298.2,308.2,1469,43,88,0,0,0,0,0,0
285,2,298.2,308.3,2051,19.2,90,0,0,0,0,0,0
286,2,298.2,308.3,1568,36,92,0,0,0,0,0,0
287,2,298.2,308.3,1589,33.2,94,0,0,0,0,0,0
288,2,298.2,308.3,1805,31.6,96,0,0,0,0,0,0
289,3,298.2,308.4,1385,42.2,98,0,0,0,0,0,0
290,2,298.1,308.4,1436,46.7,103,0,0,0,0,0,0
291,2,298.1,308.4,1438,45.6,105,0,0,0,0,0,0
292,2,298,308.3,1473,42.6,107,0,0,0,0,0,0
293,2,298.1,308.4,1335,40.2,109,0,0,0,0,0,0
294,3,298.1,308.5,1392,44.8,111,0,0,0,0,0,0
295,1,298.1,308.5,1372,51.1,116,0,0,0,0,0,0
296,1,298.1,308.6,1716,30.7,119,0,0,0,0,0,0
297,2,298,308.5,1395,46.2,122,0,0,0,0,0,0
298,2,298,308.5,1713,25.3,124,0,0,0,0,0,0
299,3,297.9,308.5,2129,18.7,126,0,0,0,0,0,0
300,1,297.8,308.3,1567,35.6,131,0,0,0,0,0,0
301,2,297.8,308.4,1622,38.3,134,0,0,0,0,0,0
302,2,297.7,308.4,1740,27.1,136,0,0,0,0,0,0
303,3,297.8,308.4,1512,35.1,138,0,0,0,0,0,0
304,1,297.8,308.4,1479,43.5,143,0,0,0,0,0,0
305,2,297.8,308.4,1737,27.5,146,0,0,0,0,0,0
306,2,297.8,308.4,2129,19.2,148,0,0,0,0,0,0
307,2,297.8,308.4,1374,47.1,150,0,0,0,0,0,0
308,1,297.8,308.4,1579,36.6,152,0,0,0,0,0,0
309,2,297.9,308.5,1305,47.2,155,0,0,0,0,0,0
310,1,297.9,308.5,1449,40.8,157,0,0,0,0,0,0
311,3,298,308.6,1526,41.8,160,0,0,0,0,0,0
312,1,298,308.6,1453,44.1,165,0,0,0,0,0,0
313,2,297.9,308.6,1468,36,168,0,0,0,0,0,0
314,2,298,308.6,1313,50.8,170,0,0,0,0,0,0
315,1,297.9,308.5,1300,53,172,0,0,0,0,0,0
316,2,297.9,308.4,1646,40.6,175,0,0,0,0,0,0
317,2,297.8,308.4,1714,33.2,177,0,0,0,0,0,0
318,2,297.8,308.4,1685,28.4,179,0,0,0,0,0,0
319,2,297.8,308.4,1512,39.9,181,0,0,0,0,0,0
320,2,297.8,308.4,1612,32.1,183,0,0,0,0,0,0
321,3,297.8,308.4,1550,38.2,185,0,0,0,0,0,0
322,2,297.8,308.4,1518,32.5,190,0,0,0,0,0,0
323,2,297.8,308.5,1448,40,192,0,0,0,0,0,0
324,2,297.8,308.5,1561,46.3,194,0,0,0,0,0,0
325,1,297.8,308.5,1488,41.9,196,0,0,0,0,0,0
326,2,297.8,308.5,1699,27.8,199,0,0,0,0,0,0
327,2,297.7,308.5,1501,41.4,201,0,0,0,0,0,0
328,2,297.7,308.5,1373,56.7,203,1,0,0,0,1,0
329,3,297.6,308.4,1703,31.4,205,0,0,0,0,0,0
330,3,297.7,308.5,1720,29.9,210,0,0,0,0,0,0
331,1,297.6,308.4,1398,41.9,215,0,0,0,0,0,0
332,1,297.6,308.4,1391,51.9,218,0,0,0,0,0,0
333,1,297.6,308.3,1538,40.2,0,0,0,0,0,0,0
334,2,297.5,308.2,1647,31.3,3,0,0,0,0,0,0
335,1,297.5,308.1,1469,44.8,5,0,0,0,0,0,0
336,2,297.4,308.1,1749,25.9,8,0,0,0,0,0,0
337,1,297.6,308.2,1995,20.5,10,0,0,0,0,0,0
338,2,297.6,308.3,1742,27.7,13,0,0,0,0,0,0
339,2,297.5,308.2,1563,38.2,15,0,0,0,0,0,0
340,1,297.5,308.2,1713,32.2,17,0,0,0,0,0,0
341,2,297.4,308.1,1474,39.4,20,0,0,0,0,0,0
342,1,297.4,308.2,1530,32.6,22,0,0,0,0,0,0
343,2,297.4,308.2,1471,46.5,25,0,0,0,0,0,0
344,2,297.5,308.3,1388,48.6,27,0,0,0,0,0,0
345,1,297.5,308.2,2448,13.8,29,0,0,0,0,0,0
346,2,297.5,308.3,1585,32.9,32,0,0,0,0,0,0
347,1,297.5,308.3,1459,45.2,34,0,0,0,0,0,0
348,2,297.5,308.3,1544,40.8,37,0,0,0,0,0,0
349,2,297.6,308.3,1617,31.7,39,0,0,0,0,0,0
350,2,297.6,308.3,1595,34.3,41,0,0,0,0,0,0
351,3,297.6,308.3,1400,44.3,43,0,0,0,0,0,0
352,1,297.6,308.4,1611,31,48,0,0,0,0,0,0
353,1,297.6,308.4,1507,46,51,0,0,0,0,0,0
354,3,297.5,308.3,1674,30,54,0,0,0,0,0,0
355,2,297.6,308.3,1658,34.3,59,0,0,0,0,0,0
356,2,297.6,308.3,1623,36.9,61,0,0,0,0,0,0
357,1,297.6,308.4,1398,48.9,63,0,0,0,0,0,0
358,2,297.6,308.4,1517,34.2,66,0,0,0,0,0,0
359,1,297.6,308.3,1467,36.7,68,0,0,0,0,0,0
360,1,297.6,308.3,1567,34.6,71,0,0,0,0,0,0
361,1,297.5,308.3,1521,38.2,74,0,0,0,0,0,0
362,2,297.5,308.3,1596,36.8,77,0,0,0,0,0,0
363,3,297.6,308.3,1640,30.9,79,0,0,0,0,0,0
364,2,297.6,308.3,1438,47.8,84,0,0,0,0,0,0
365,2,297.6,308.4,1407,55.2,86,0,0,0,0,0,0
366,2,297.6,308.4,1353,57.5,88,0,0,0,0,0,0
367,1,297.6,308.5,1552,40.9,90,0,0,0,0,0,0
368,1,297.6,308.4,1569,38.3,93,0,0,0,0,0,0
369,2,297.5,308.4,1489,39.5,96,0,0,0,0,0,0
370,3,297.5,308.4,1587,36.1,98,0,0,0,0,0,0
371,1,297.5,308.3,1622,37.2,103,0,0,0,0,0,0
372,2,297.5,308.4,1604,38.1,106,0,0,0,0,0,0
373,1,297.4,308.3,1405,51.7,108,0,0,0,0,0,0
374,2,297.4,308.3,1412,42,111,0,0,0,0,0,0
375,2,297.4,308.3,1431,43,113,0,0,0,0,0,0
376,2,297.4,308.2,1533,37.4,115,0,0,0,0,0,0
377,1,297.4,308.2,1401,51.9,117,0,0,0,0,0,0
378,1,297.4,308.2,1424,53.9,120,0,0,0,0,0,0
379,2,297.3,308.2,1754,29.4,123,0,0,0,0,0,0
380,2,297.3,308.2,1754,26.8,125,0,0,0,0,0,0
381,2,297.5,308.3,2564,12.8,127,1,0,0,1,0,0
382,2,297.5,308.5,1546,40.4,129,0,0,0,0,0,0
383,2,297.5,308.5,1335,48,131,0,0,0,0,0,0
384,1,297.5,308.6,1842,27,133,0,0,0,0,0,0
385,2,297.5,308.5,1712,26.8,136,0,0,0,0,0,0
386,1,297.6,308.6,1414,45.4,138,0,0,0,0,0,0
387,2,297.6,308.7,1319,50.9,141,0,0,0,0,0,0
388,2,297.7,308.7,1249,60.4,143,0,0,0,0,0,0
389,2,297.6,308.7,1455,48.2,145,0,0,0,0,0,0
390,1,297.6,308.7,1408,54.8,147,0,0,0,0,0,0
391,2,297.6,308.7,1460,46.7,150,0,0,0,0,0,0
392,2,297.6,308.6,1491,38.1,152,0,0,0,0,0,0
393,1,297.6,308.5,1490,43.4,154,0,0,0,0,0,0
394,1,297.5,308.4,1350,52.2,157,0,0,0,0,0,0
395,2,297.5,308.4,1528,39.9,160,0,0,0,0,0,0
396,2,297.4,308.3,1571,37.7,162,0,0,0,0,0,0
397,2,297.4,308.3,1490,42.6,164,0,0,0,0,0,0
398,1,297.4,308.3,1774,28.9,166,0,0,0,0,0,0
399,3,297.4,308.3,1502,43.6,169,0,0,0,0,0,0
400,2,297.4,308.4,1392,49.7,174,0,0,0,0,0,0
401,2,297.4,308.5,2100,16.9,176,0,0,0,0,0,0
402,2,297.5,308.5,1722,30.4,178,0,0,0,0,0,0
403,2,297.4,308.6,1678,32.3,180,0,0,0,0,0,0
404,2,297.3,308.6,1273,59.8,182,0,0,0,0,0,0
405,2,297.3,308.6,1297,45.9,184,0,0,0,0,0,0
406,2,297.3,308.5,1350,57.6,186,0,0,0,0,0,0
407,2,297.4,308.6,1439,51.9,188,0,0,0,0,0,0
408,1,297.4,308.5,1600,42.1,190,0,0,0,0,0,0
409,1,297.4,308.6,1434,44.4,193,0,0,0,0,0,0
410,2,297.4,308.6,1459,41.3,196,0,0,0,0,0,0
411,1,297.5,308.6,1472,44.9,198,0,0,0,0,0,0
412,2,297.5,308.7,1429,44.3,201,0,0,0,0,0,0
413,2,297.5,308.6,1388,48.2,203,0,0,0,0,0,0
414,2,297.4,308.4,1573,34.5,205,0,0,0,0,0,0
415,2,297.4,308.4,1588,32.5,207,0,0,0,0,0,0
416,2,297.5,308.4,1511,42.8,209,0,0,0,0,0,0
417,2,297.4,308.5,1495,37.8,211,0,0,0,0,0,0
418,2,297.4,308.4,1394,50.1,213,0,0,0,0,0,0
419,2,297.4,308.4,2151,17.7,0,0,0,0,0,0,0
420,1,297.3,308.3,1501,38.2,2,0,0,0,0,0,0
421,1,297.3,308.3,1301,39.6,5,0,0,0,0,0,0
422,1,297.3,308.3,1657,31.1,8,0,0,0,0,0,0
423,2,297.3,308.3,1333,55.2,11,0,0,0,0,0,0
424,2,297.3,308.3,1484,43.9,13,0,0,0,0,0,0
425,2,297.3,308.4,1430,45.7,15,0,0,0,0,0,0
426,1,297.3,308.4,1665,28.9,17,0,0,0,0,0,0
427,2,297.4,308.5,1501,44.9,20,0,0,0,0,0,0
